#{"t_start": 1512532589.3267086, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-16.228036,122,-16.2280356577,23.654692
-19.673281,122,-19.6732805025,49.114752
-17.633417,120,-17.6334168336,75.162591
-17.513959,126,-17.5139590029,98.669606
-17.542425,119,-17.5424253465,120.510936
-17.645549,119,-17.6455487692,142.429675
-17.590182,124,-17.5901816947,166.47033
-17.653243,120,-17.6532431689,188.953338
-16.951876,117,-16.9518759863,211.01738
-16.71542,122,-16.7154204164,234.452016
-16.626409,118,-16.626408872,256.68333
-16.734397,118,-16.734396704,282.444166
-17.339006,120,-17.3390056616,309.410207
-17.759648,117,-17.7596478058,335.547314
-17.644791,120,-17.6447912009,363.280138
-16.831551,121,-16.8315513267,391.655292
-16.572095,120,-16.5720948872,420.020937
-16.519709,125,-16.5197093054,451.449255
-16.532992,118,-16.5329924144,479.43282
-17.087872,119,-17.0878716365,506.957352
-16.591865,122,-16.5918646972,535.760573
-17.985237,118,-17.9852374026,564.07792
-17.908977,116,-17.9089769088,593.014331
-16.966616,119,-16.9666161227,621.044794
-17.10196,117,-17.1019603102,649.383116
-17.389072,119,-17.3890718446,677.504626
-16.858927,123,-16.8589266168,707.541621
-17.070763,119,-17.0707629452,738.010172
-17.400723,117,-17.4007227886,765.579626
-17.158401,121,-17.158401115,794.441368
-16.150589,117,-16.150588597,823.577713
-16.480917,119,-16.4809171349,852.396145
-19.148834,125,-19.1488337369,880.935814
-17.505217,120,-17.5052172421,908.541564
-17.135118,122,-17.1351179162,939.304334
-17.224275,118,-17.2242753142,967.276309
-18.13158,116,-18.1315795752,993.495017
-16.685833,121,-16.685833129,1023.107386
-16.978593,121,-16.9785928345,1051.697568
-16.384709,121,-16.3847094665,1079.830395
-17.122419,122,-17.1224189117,1109.782694
-16.647356,119,-16.6473559444,1138.223082
-16.940257,121,-16.9402572354,1167.376708
-16.912544,123,-16.9125437229,1197.236319
-17.267512,118,-17.2675120874,1226.404991
-16.329315,119,-16.3293150478,1254.227877
-16.015292,116,-16.0152915145,1281.398886
-16.011926,121,-16.0119261871,1310.558039
-16.459668,117,-16.4596680092,1339.432147
-16.197983,119,-16.1979832514,1367.92046
-16.736732,118,-16.7367323035,1395.996011
-17.133822,120,-17.1338222091,1425.911758
-17.600028,120,-17.600028408,1455.540661
-18.074764,117,-18.0747637363,1484.88873
-16.609848,124,-16.6098481008,1516.015338
-16.637953,117,-16.6379529637,1544.183471
-17.622728,125,-17.6227284062,1575.327696
-17.439987,126,-17.4399866555,1607.69144
-16.387218,120,-16.3872180979,1637.811139
-16.520634,118,-16.5206335166,1668.029742
-17.489711,120,-17.4897114502,1697.201689
-17.391907,117,-17.3919066579,1725.374189
-17.532175,122,-17.5321749954,1754.687518
-17.612228,118,-17.6122278062,1784.676603
-17.181423,124,-17.1814233522,1814.575974
-16.955734,120,-16.9557335225,1845.239801
-16.500079,119,-16.5000789499,1875.362644
-17.01051,123,-17.0105097603,1905.861994
-16.885526,127,-16.8855258035,1939.305543
-16.495554,123,-16.4955544764,1969.40994
-16.697149,120,-16.6971494688,1998.930109
-16.702958,118,-16.702957527,2027.776613
-17.944457,118,-17.9444566919,2057.567338
-17.387444,123,-17.3874436097,2087.320662
-17.529626,119,-17.5296255114,2116.729216
-17.725799,120,-17.7257988811,2146.046751
-17.573217,118,-17.5732165531,2174.773871
-17.432113,118,-17.4321125138,2203.696342
-16.847055,119,-16.8470548927,2231.681987
-17.783559,120,-17.7835589477,2260.334836
-16.840692,120,-16.8406920616,2289.538576
-17.188413,119,-17.1884130283,2319.810175
-17.8674,123,-17.867400377,2349.543732
-17.165054,120,-17.1650544189,2378.946241
-18.052846,120,-18.0528456929,2407.704901
-16.668523,124,-16.6685229592,2437.964102
-17.284385,128,-17.2843846953,2469.318769
-16.764216,119,-16.7642163081,2498.983258
-16.911171,117,-16.9111710719,2528.46909
-16.478863,117,-16.4788633113,2557.444863
-17.339294,120,-17.3392944488,2586.392494
-17.575331,122,-17.5753314761,2615.866405
-17.161435,120,-17.1614354192,2645.3193
