#{"t_start": 1512532589.3498907, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-17.117581,126,-17.1175806131,24.887465
-17.477335,119,-17.4773352033,49.467654
-16.931588,123,-16.9315881657,76.220737
-16.71761,117,-16.7176101992,97.373548
-17.197939,117,-17.1979393273,118.823877
-17.595384,121,-17.5953839545,141.073194
-17.047884,119,-17.0478839778,163.749937
-17.758825,119,-17.7588247198,185.818583
-17.16139,119,-17.1613897005,208.783265
-17.089197,120,-17.0891972807,231.736354
-17.382014,120,-17.3820135736,254.461229
-17.458684,123,-17.4586842839,281.198729
-17.133684,122,-17.133684275,308.823587
-17.60986,119,-17.6098599745,335.576037
-17.094453,121,-17.0944530968,363.61773
-17.587777,119,-17.58777692,391.337938
-18.169854,121,-18.1698539317,419.961489
-17.203699,120,-17.2036994512,450.138572
-17.440653,123,-17.4406528455,479.398581
-16.595531,124,-16.5955311424,508.626629
-16.46404,120,-16.4640402677,536.589829
-16.829262,123,-16.8292623859,566.162476
-16.652449,120,-16.6524492882,596.225463
-16.20822,121,-16.2082200226,624.595743
-18.249509,126,-18.2495090205,654.960086
-16.943048,118,-16.9430478996,683.341509
-16.625896,117,-16.6258962158,712.247563
-17.458541,124,-17.4585408828,743.552407
-17.482675,118,-17.4826748829,770.997878
-16.115561,121,-16.1155605024,800.394548
-18.305308,124,-18.3053075288,831.1641
-15.763604,125,-15.7636037828,860.482651
-16.55298,118,-16.5529799422,887.677991
-18.525182,122,-18.5251821163,918.246798
-17.564168,125,-17.5641677828,948.056818
-17.309222,122,-17.3092215972,975.966699
-17.046593,119,-17.0465926659,1004.189718
-16.747983,122,-16.7479830184,1033.337029
-15.948328,121,-15.948327625,1061.827937
-16.322126,122,-16.3221263901,1090.935047
-16.230452,123,-16.2304520118,1121.41759
-17.656414,125,-17.6564137111,1151.030393
-17.416211,119,-17.4162106484,1180.096979
-16.340916,120,-16.3409158701,1210.1611
-16.517206,120,-16.5172063178,1238.661958
-16.248714,118,-16.2487136232,1265.410399
-16.53909,120,-16.5390897656,1293.734674
-18.530732,119,-18.5307323112,1322.859399
-16.62672,121,-16.626720096,1352.17987
-16.866127,117,-16.866126667,1379.895795
-16.726729,121,-16.7267289481,1409.702554
-17.251662,121,-17.2516622097,1438.953591
-17.993261,124,-17.9932607967,1470.1525
-17.446797,119,-17.4467969503,1499.69891
-17.161675,122,-17.1616750949,1529.448091
-16.397946,119,-16.3979462184,1559.673011
-16.764728,120,-16.7647280446,1589.596751
-17.855856,123,-17.8558559132,1621.312989
-15.690955,116,-15.6909549666,1650.290571
-16.869116,116,-16.8691159299,1679.299912
-16.568895,121,-16.5688948201,1708.179174
-18.077693,123,-18.0776927986,1738.11475
-16.968273,119,-16.9682732542,1768.180207
-17.073498,118,-17.0734983048,1796.397902
-17.122519,120,-17.1225192472,1826.010572
-17.081501,125,-17.081500731,1858.441904
-17.02994,119,-17.0299404695,1888.691634
-17.309948,126,-17.3099481837,1921.987015
-17.026028,122,-17.0260276885,1952.076088
-16.002855,117,-16.0028553745,1980.336574
-16.391941,121,-16.3919412827,2009.902186
-17.099228,119,-17.0992279013,2039.046091
-16.28972,122,-16.2897199392,2070.127543
-17.362466,119,-17.3624656526,2098.705883
-17.202293,119,-17.2022927137,2128.218584
-16.003263,119,-16.0032627757,2157.174622
-16.811556,120,-16.8115562488,2185.473346
-18.149177,124,-18.1491769085,2215.418296
-17.193221,124,-17.1932205977,2245.479393
