#{"t_start": 1512532589.308156, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-16.54521,120,-16.545210174,23.138464
-18.119373,120,-18.1193728872,47.872057
-16.782593,120,-16.7825934246,74.195955
-17.526433,127,-17.5264330957,98.090448
-17.613936,124,-17.6139364944,120.927238
-19.988837,123,-19.9888369554,144.064667
-17.676279,121,-17.6762793479,167.245967
-17.797798,117,-17.7977976641,188.967033
-16.429156,117,-16.4291559434,211.014085
-17.550144,117,-17.5501435595,233.207335
-16.963811,121,-16.9638106799,256.085761
-18.290155,129,-18.2901553338,285.016625
-16.883665,122,-16.8836650871,312.420769
-17.055334,118,-17.055334406,338.77977
-17.38319,119,-17.3831903849,366.331302
-17.983489,116,-17.9834889295,393.385519
-16.681268,122,-16.6812684402,424.417662
-17.058398,118,-17.058398391,451.652328
-16.467193,120,-16.4671934643,480.481888
-16.809765,119,-16.8097650754,508.033184
-16.2329,118,-16.232900169,535.488553
-19.557103,135,-19.557102524,568.580044
-17.234212,118,-17.2342122883,597.90647
-16.753676,122,-16.7536762434,626.534288
-17.449155,119,-17.4491551272,655.036322
-18.914475,125,-18.9144754606,685.543613
-16.907259,122,-16.9072590071,716.123756
-18.014551,121,-18.0145514297,745.698163
-16.252521,124,-16.2525211483,775.004585
-16.651647,116,-16.6516472779,803.173576
-17.825664,124,-17.8256636031,834.238276
-17.505845,122,-17.5058445785,862.259077
-16.830318,119,-16.8303176308,889.781704
-17.07031,121,-17.0703099218,920.266706
-16.679135,120,-16.6791353648,948.685061
-17.66796,121,-17.6679597308,976.230538
-17.165529,119,-17.1655290548,1004.48558
-17.611616,120,-17.6116164889,1033.138289
-15.47555,125,-15.4755496096,1062.848801
-17.382966,119,-17.3829659911,1090.936763
-17.196193,122,-17.1961926748,1121.1383
-16.979813,119,-16.9798133572,1148.862588
-16.933278,125,-16.9332782759,1179.868722
-17.4848,120,-17.4847999839,1209.911899
-18.666598,118,-18.6665977718,1237.735322
-17.451214,123,-17.4512142118,1266.046947
-17.398405,118,-17.3984054644,1293.804518
-16.963144,120,-16.9631440837,1323.140664
-17.868116,123,-17.8681161733,1353.10457
-17.035657,117,-17.0356567955,1380.816449
-17.462011,118,-17.4620112725,1409.764429
-18.181232,124,-18.1812319397,1439.840324
-16.817811,118,-16.8178105118,1469.359406
-17.693573,123,-17.6935729301,1499.960635
-17.909179,122,-17.9091793166,1529.77939
-17.206896,119,-17.2068960107,1559.99714
-16.649604,117,-16.6496035165,1589.023647
-17.731891,120,-17.7318912461,1620.055124
-17.391036,121,-17.3910361755,1650.30856
-16.654242,121,-16.6542424622,1680.558794
-17.510316,121,-17.510316175,1709.353359
-18.924349,124,-18.9243490451,1739.769991
-16.496771,117,-16.4967706812,1769.248418
-17.198899,117,-17.1988986133,1797.326975
-15.628713,122,-15.6287132477,1827.285819
-17.273388,121,-17.2733881959,1858.716569
-17.462434,123,-17.4624342467,1889.824938
-17.703384,122,-17.7033838103,1922.327112
-17.008129,120,-17.0081288244,1951.89948
-17.007282,122,-17.0072821971,1981.30042
-17.599235,118,-17.5992354769,2010.15623
-18.141917,124,-18.1419171593,2040.711609
-17.467151,122,-17.4671506312,2071.912543
-16.18379,117,-16.1837899797,2099.79564
-16.853975,119,-16.853974983,2129.197842
-17.282276,124,-17.282276006,2159.783837
-17.79629,124,-17.7962897124,2189.613103
-16.337111,124,-16.3371107231,2218.721467
-18.024332,122,-18.0243321627,2248.322666
-17.129085,119,-17.129084796,2276.319831
-16.577259,121,-16.5772589404,2306.676047
-17.323855,119,-17.3238550719,2337.050235
-17.126909,119,-17.126909028,2366.125236
-17.149879,119,-17.1498790409,2394.430731
-16.97245,119,-16.9724495886,2424.075154
-16.638414,119,-16.6384141816,2452.824156
-17.040024,123,-17.040024146,2483.405051
-17.288046,119,-17.2880462292,2512.815289
-17.099993,122,-17.0999931217,2543.656347
-16.604526,116,-16.6045256347,2571.412761
-17.191734,126,-17.1917336716,2602.552719
-17.748228,118,-17.7482281679,2631.161438
