#{"t_start": 1512266870.7391992, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-80.8334,120,-17.4230197712,19.624482
-81.054907,124,-16.8635739387,40.796094
-80.866683,121,-16.8311012491,61.30878
-78.508558,126,-15.96724634,83.62306
-80.542539,125,-16.0465549029,106.295822
-79.97481,121,-16.8046697302,127.000885
-82.195651,125,-17.4140598751,150.447425
-79.83649,123,-16.3700594149,173.056712
-80.666076,122,-16.4731648376,194.811356
-79.123689,118,-16.1556908387,216.758347
-81.90495,128,-16.9795092321,239.944451
-80.165291,120,-17.0133614886,261.40642
-81.147188,119,-17.3321153515,282.200646
-82.342614,126,-17.7468263173,306.032381
-79.566394,124,-16.3635530126,329.074017
-82.672407,126,-17.5559527059,351.84821
-80.597565,122,-16.5231028621,376.813304
-79.964746,124,-16.1875839311,400.753605
-80.414538,128,-17.0260610059,423.917277
-79.812652,123,-16.2455589442,445.557069
-79.446171,125,-15.891947305,469.153338
-77.813952,122,-15.6846630541,491.209032
-79.790211,125,-16.4568059634,514.303435
-81.180232,122,-16.9189869722,536.376448
-79.697941,121,-16.2302516117,558.619132
-79.980936,125,-16.1857935413,582.063238
-80.320568,128,-15.9764318202,605.372837
-79.967975,121,-16.2241941451,627.472521
-80.220639,123,-17.0125514585,650.363638
-77.480745,123,-15.4298731315,673.256404
-79.956415,121,-16.5397654389,696.027727
-80.038463,121,-16.4863388331,717.812765
-80.633594,124,-16.9096838332,740.806673
-81.344885,124,-16.81519007,765.581645
-81.494681,124,-16.8819473072,788.34944
-81.480318,121,-17.2033933715,810.616873
-83.521312,128,-17.9934901813,833.774347
-79.759527,123,-16.309614223,857.014328
-81.246473,122,-16.5791041388,879.057118
-80.754808,121,-16.8636592887,901.034719
-81.967501,124,-16.7435897957,923.743927
-79.691096,118,-17.8912122858,946.26723
-81.280237,121,-17.2009186116,968.732482
-81.232772,121,-16.9980262085,990.747855
-79.640584,123,-16.2458875802,1013.909046
-80.67663,124,-16.6825549964,1036.700231
-79.955025,124,-15.6028752013,1059.291968
-80.613131,120,-16.9749825071,1080.841487
-80.010689,121,-16.5576599905,1103.503063
-79.876169,118,-17.2440525706,1125.088854
-79.660231,117,-17.047220724,1147.951391
-79.235232,122,-16.7469512272,1170.013756
-80.705952,125,-16.1380419475,1193.870162
-80.199925,121,-17.3329393645,1216.57108
-79.865954,122,-16.8276897232,1239.056406
-79.733953,122,-16.1713175477,1261.814047
-79.3903,126,-15.8176990294,1285.731533
-79.260473,123,-16.4261436751,1308.595615
-79.300074,120,-17.3400339411,1331.216912
-80.473995,126,-16.1840740444,1355.291939
-81.223215,125,-17.5692451984,1379.584594
-80.510797,117,-16.9119023154,1401.431406
-80.805437,121,-17.0403939366,1424.482118
-82.136043,131,-16.6070831957,1448.354876
-81.462624,128,-17.2727301955,1473.446452
-78.963198,119,-16.6401197071,1494.946054
-80.206805,120,-16.6349997406,1518.029501
-80.277699,125,-16.3488495785,1541.147913
-79.953449,118,-16.1719067951,1562.885864
-78.540952,119,-16.0989303943,1584.914716
-81.865875,130,-17.2254977078,1609.10054
-80.606567,121,-16.8049036412,1632.029478
-80.241009,123,-17.2921555795,1654.665955
-81.455354,123,-17.068957148,1677.92422
-81.622983,122,-17.2472856121,1701.098095
-78.347907,119,-15.6735585876,1723.122453
-79.971118,124,-16.5514504321,1746.888487
-80.888344,122,-17.1182839833,1769.994464
-80.221156,122,-17.0331867577,1792.658401
-80.154814,124,-16.4002868629,1816.513569
-80.197121,125,-16.6224342421,1839.705137
-79.4524,123,-16.356445887,1862.136581
-80.853665,119,-17.1686165002,1885.224702
-79.644174,120,-16.2597368707,1909.416677
-78.12478,123,-15.285578256,1932.672845
-81.315824,122,-17.5998447869,1955.903473
-80.175061,119,-17.4902969625,1978.875108
-80.719534,124,-16.6149697851,2002.179216
-81.063667,122,-17.217873501,2025.00066
-83.58832,128,-18.4587496222,2049.849706
-80.185377,122,-16.713879668,2073.251715
-80.880094,123,-16.3982332549,2097.033558
-78.603263,121,-16.4950215261,2119.327448
-81.066004,124,-16.1020855704,2142.199252
-80.181862,122,-16.6434794204,2164.689464
-77.37622,126,-15.932737888,2188.045796
-78.472392,121,-16.5034377244,2211.29413
-77.987187,123,-15.9602906843,2234.7819
-80.002811,123,-16.6604433074,2257.999791
-82.283138,126,-17.3154969877,2282.392255
-79.981969,122,-17.0524399078,2307.228148
-78.873712,125,-15.9297165143,2331.213272
-80.760374,127,-16.5870806506,2354.83375
-80.868534,123,-17.2741718049,2378.151658
-80.337636,125,-16.3402569549,2401.518284
-79.121455,122,-16.8788728798,2424.475702
-77.814867,121,-16.386244002,2447.109718
-79.811617,122,-17.6407212236,2469.742117
-80.932873,123,-18.0112512328,2492.446475
-80.964976,121,-17.4914126709,2515.473166
-81.375206,126,-17.9052338025,2539.25385
-78.862312,123,-16.3685813851,2562.759418
-80.652444,121,-16.783084516,2585.597829
-80.58001,125,-16.0946255839,2609.119244
-79.636109,124,-16.3036335292,2632.606072
-81.094403,128,-16.3105832663,2656.94467
-78.183437,121,-16.5599160375,2681.17148
-78.912154,126,-16.2834293972,2705.06864
-79.682229,122,-16.840198819,2727.650978
-79.569148,126,-16.5322018824,2751.927946
-81.832805,126,-16.7342385612,2776.042378
-81.253434,121,-16.8260301525,2800.123961
-78.330113,124,-15.758438708,2824.486321
-78.695295,124,-16.3736159934,2847.882519
-80.072623,124,-16.4136185,2871.069073
-82.791121,136,-16.959239659,2896.355638
-81.068222,128,-16.5213181984,2920.529518
-79.275968,124,-16.1391870307,2943.756586
-80.1196,128,-16.713003865,2968.319285
-79.300975,124,-15.8499750978,2990.793161
-80.424282,121,-17.6616674616,3013.106552
-80.616278,123,-16.6627843702,3035.791619
-82.147689,133,-17.1367290637,3060.74192
-78.49729,127,-16.0121921472,3083.51567
-78.506417,124,-16.0379914368,3106.4052
-79.664244,126,-15.4367760633,3129.119684
-80.472694,124,-17.1407381534,3151.488281
-80.904094,142,-15.1472679848,3177.626285
-78.130716,121,-17.0188978815,3199.499258
-80.885363,128,-16.567767883,3223.290268
-81.324257,124,-17.2298638471,3245.547304
-80.092784,129,-16.2011624086,3269.79664
-81.426986,121,-17.4858946924,3291.901932
-81.142563,129,-16.7219357616,3315.184376
-78.253297,122,-16.9803421278,3336.901905
-79.567447,123,-16.5341105891,3359.551471
-80.672094,121,-18.1533449229,3381.477225
-79.905841,128,-16.3038522966,3404.373265
-80.526616,128,-16.1755900932,3427.605725
-82.344621,127,-17.18231803,3452.893313
-83.640916,128,-18.3264362251,3476.893037
-82.1235,138,-15.7703598406,3502.16398
-81.146639,124,-16.5886768544,3524.383611
-81.180727,125,-17.089751115,3547.029949
-80.380393,123,-16.9198310611,3569.492448
-80.967027,132,-15.5275788841,3593.182552
-81.487344,128,-16.479629192,3616.350011
-82.364401,132,-17.0321841085,3639.704228
-76.274494,125,-15.3904854988,3662.902375
-81.224864,131,-17.0311978044,3686.561158
-80.710777,127,-17.9132530376,3709.11283
-79.864921,125,-15.8325715919,3731.229901
-80.599248,130,-16.3376689384,3754.520483
-81.62519,130,-16.7626971103,3777.396516
-79.789736,125,-16.2248046395,3800.861516
-81.261354,129,-16.8951569363,3825.180974
-80.721629,128,-15.9779540849,3848.450739
-79.516894,123,-16.3352788632,3870.85652
-81.180781,125,-17.4486668917,3893.531067
-80.300656,128,-16.5984826651,3916.834744
-79.846519,126,-15.87282756,3939.383464
-82.075524,133,-16.5792326186,3963.674041
-80.296801,123,-16.917964574,3985.588809
-79.97236,128,-18.3750564652,4008.860817
-81.852175,128,-16.6560559023,4032.035383
-80.507501,143,-14.3756537233,4057.646855
-77.414482,129,-15.0125421141,4081.553463
-80.751472,128,-16.3962303487,4105.423743
-81.323604,128,-16.4675217225,4128.173346
-79.403563,119,-17.8831931467,4150.062519
-79.161458,132,-15.9759359091,4174.618202
-81.808616,129,-16.9640754359,4199.155788
-80.47903,121,-19.3102490679,4220.900695
-82.037272,137,-16.6664594454,4245.485723
-81.261758,137,-15.6389634357,4270.527319
-77.659669,129,-16.0778785912,4293.567694
-79.32602,133,-17.850457586,4317.250452
-79.717215,127,-16.5138324421,4339.84565
-79.07185,135,-15.5739792575,4364.480847
-79.215013,124,-18.0726346323,4386.980407
-78.734768,127,-15.9085675859,4410.273056
-82.981592,139,-17.0549284921,4435.336621
-82.132105,131,-17.8038472562,4459.427985
-80.157812,131,-17.2415470172,4483.106956
-81.98048,126,-18.5246456634,4505.795924
-80.304076,148,-13.2345068208,4532.504239
-78.339735,122,-16.8301814154,4556.027983
-82.917807,126,-18.6889014112,4578.940804
-78.63246,129,-16.5867306699,4602.722026
-81.172507,129,-16.9140747352,4626.642309
-80.72449,131,-16.48468396,4650.266839
-79.07728,129,-19.0349794611,4673.877458
-78.657548,132,-15.8416134452,4696.925386
-80.679957,127,-17.6317844201,4719.499147
-81.57436,133,-17.7705861775,4742.941913
-82.041098,136,-15.9639432605,4767.90935
-80.352172,141,-15.2566624019,4794.347178
-80.613462,133,-17.4461817676,4818.681959
-79.292168,134,-15.6319833592,4843.013492
-80.363913,136,-16.0426582389,4867.477191
-80.170095,128,-17.2890804984,4890.548827
-80.615752,138,-16.1711394467,4914.947759
-77.723016,131,-15.2549600101,4940.226933
-80.770644,140,-17.6180070933,4964.993874
-76.462746,126,-16.1757737753,4988.123436
-81.732843,134,-16.8175196918,5012.158808
-78.69268,137,-14.8325290503,5036.475738
-80.273979,122,-16.4536126857,5058.761665
-81.867038,132,-18.7282456343,5082.303094
-79.403166,129,-16.2655034119,5105.868835
-80.378925,133,-17.2325746767,5129.981675
-80.453486,130,-16.6117060765,5150.341683
-79.746829,130,-16.0800599917,5170.709193
-80.135492,138,-18.2919180923,5193.248646
-80.671222,129,-17.6377461279,5214.962733
-81.021845,141,-16.2632568338,5237.216322
-81.253247,147,-14.8538775068,5261.854779
-80.299526,124,-17.5028544694,5284.384364
-82.544185,141,-16.4562992379,5307.224985
-80.528619,140,-15.3022835789,5330.767858
-79.636485,142,-15.9282317717,5354.124767
-84.144043,151,-18.9260934263,5378.977068
-80.454339,135,-16.9282571989,5401.299078
-79.50147,147,-17.9641363406,5425.983314
-82.735458,135,-17.495430783,5448.248962
-79.296323,135,-15.4297968228,5469.86138
-79.797488,145,-16.5636039547,5492.970782
-80.748189,129,-16.6438680607,5513.722104
-77.290788,145,-14.1763356527,5538.218879
-77.859483,189,-7.49059096574,5568.513042
-80.488788,143,-15.9493689504,5590.990527
-78.822063,133,-16.0865836987,5612.317963
-81.564654,138,-16.2502748123,5635.888394
-78.690194,158,-15.4558978866,5660.424005
-80.46916,135,-23.664989495,5681.67174
-76.602819,145,-14.1702690419,5705.08999
-82.20485,162,-15.0221117849,5731.431398
-78.846184,153,-13.9479160142,5755.813999
-79.419329,139,-15.2068216212,5778.979889
-82.834841,184,-11.3510616928,5809.504642
-80.071628,158,-16.5162046996,5833.728194
-81.09988,146,-16.0660836205,5858.525611
-82.331811,133,-21.8340721654,5880.55546
-81.242952,139,-17.7054381057,5901.945244
-83.430941,189,-11.0618981661,5933.287301
-80.316577,137,-16.2443655446,5957.302509
-80.972157,139,-15.5689020986,5979.430325
-81.090394,147,-14.6474285694,6001.655722
-79.494647,143,-15.6294199968,6024.761
-78.423225,134,-14.7046393456,6045.728792
-79.940095,141,-16.9531966604,6067.589298
-81.183059,136,-16.6420672853,6086.749178
-80.189922,146,-14.7911714563,6108.975632
-80.833132,153,-15.3467978857,6133.489897
-79.884773,136,-16.3047348413,6155.84961
-78.245705,136,-16.1004974709,6176.814848
-79.622174,140,-17.6520953489,6198.577207
-80.811836,143,-14.9276193144,6221.669805
-80.786402,159,-15.0931789323,6247.059988
-78.389118,148,-17.7068739917,6271.106933
-80.865648,130,-16.635603454,6290.776477
-79.70261,147,-22.5030037822,6312.616382
-80.313179,176,-9.98831053276,6340.716204
-79.479658,170,-14.1228811945,6367.000378
-81.217884,140,-16.039206152,6389.4035
-80.908159,131,-16.5900690905,6410.637334
-81.581231,159,-18.9513066474,6437.212229
-81.435428,161,-13.6618218541,6463.049285
-80.053868,154,-16.3924837355,6486.328625
-82.086901,153,-18.473797579,6511.633073
-80.270827,141,-15.6318158347,6532.49583
-81.944918,145,-17.3952469334,6556.174795
-81.229682,151,-14.9042503528,6580.841206
-81.5273,141,-18.6761253736,6606.417265
-80.583056,180,-9.87105387895,6638.899994
83.295663,172,49.4285069496,6666.496547
-79.338133,171,-10.6484267189,6694.015959
57.209219,139,21.2988913992,6718.359115
-82.184836,176,-14.3805897574,6747.834459
-82.308026,177,-12.7234959567,6776.791044
-80.123887,166,-19.3201692944,6804.434956
-83.078675,197,-10.8720942403,6837.939247
-81.770355,227,-10.5545268594,6877.663183
