#{"t_start": 1512266870.7907054, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-80.024508,123,-16.098502886,20.303817
-81.615863,123,-16.8835077927,41.211928
-80.736964,121,-17.1814431929,61.772723
-80.809735,123,-16.789138736,83.422663
-81.120533,121,-16.8919011173,104.954142
-79.877606,119,-16.6266759688,125.381701
-80.807931,122,-16.8248377778,148.054868
-80.373118,122,-17.5214739868,170.396577
-81.34354,120,-17.2096910926,192.201616
-80.928955,123,-16.6935454465,214.722342
-79.629229,119,-17.3373608924,236.568029
-82.124145,124,-17.386390659,258.830049
-80.780978,121,-16.7698031524,279.69854
-81.262548,123,-16.5511437269,302.947981
-80.357932,123,-15.9508388285,325.951778
-81.603859,121,-17.6301464241,347.67062
-80.677478,122,-16.5981978437,372.32874
-81.100452,121,-17.6610615639,395.738244
-79.985716,122,-16.2510565748,417.555847
-81.710882,125,-17.0003766763,439.822473
-80.151558,126,-15.959941285,463.121204
-79.606842,120,-16.5018530756,485.593062
-78.793178,121,-15.9717995692,507.633638
-81.074731,123,-17.8326632487,529.881454
-80.624705,119,-17.1288723389,552.233171
-82.53348,123,-17.4846130517,574.818303
-80.931949,123,-16.5949869519,597.1443
-79.817812,120,-16.639180613,618.979468
-78.454536,119,-16.1633008163,641.426468
-79.371703,120,-15.907703419,663.814957
-79.527728,125,-16.1566173378,687.045274
-82.937866,127,-17.6079610238,710.172881
-80.737475,120,-16.8987342662,732.800752
-79.634578,126,-16.6524604271,757.090486
-79.355983,121,-16.2969175675,780.111034
-79.794315,119,-17.0306212497,801.532089
-79.696662,120,-16.2878209444,823.819191
-81.451769,121,-17.8174894776,846.22715
-80.053275,124,-16.1986999588,869.287565
-80.99963,122,-16.4866966049,891.030137
-80.076909,118,-16.5580978758,912.569923
-80.613335,122,-17.1368998531,935.533953
-80.813326,125,-16.5939838285,958.97384
-80.296554,127,-16.3935057072,982.038114
-80.867081,122,-17.4559360124,1004.917864
-79.264749,119,-16.5834362856,1027.190896
-80.367455,123,-16.1896481173,1049.913462
-80.135944,121,-17.0987141441,1071.594744
-81.522717,126,-17.0053072623,1094.44262
-79.765287,122,-16.6377680678,1117.275651
-81.780521,126,-17.0608500772,1141.756021
-80.085902,122,-16.7606728333,1164.180456
-79.396136,125,-17.0195388653,1187.387329
-80.281744,123,-16.3586731379,1210.578902
-80.136463,121,-17.0226831064,1233.296481
-79.195337,121,-16.0856985321,1255.520903
-82.668001,125,-17.3367326181,1279.017374
-78.409103,124,-16.2099143882,1302.458874
-79.772453,124,-16.6874956177,1325.938244
-80.967635,126,-16.906762477,1349.249903
-80.934927,120,-17.1717133208,1373.122933
-80.904696,119,-17.3289392938,1395.521754
-80.824342,124,-16.5758402008,1419.275143
-81.002284,124,-17.1007521543,1441.867823
-79.116046,124,-15.4650314945,1466.192075
-80.504658,125,-16.0650696324,1488.946177
-80.902057,122,-16.5913035239,1512.497889
-80.370858,122,-16.2876736314,1535.294309
-78.957947,119,-16.5909744906,1556.99874
-80.346109,124,-16.6549195233,1579.850413
-82.020886,124,-17.6608601553,1603.026324
-80.341747,123,-16.3748143646,1625.912422
-81.45524,124,-16.8033935919,1648.989446
-80.994489,123,-16.8727480802,1672.286692
-81.336361,126,-16.4517347475,1696.081301
-81.703488,122,-16.6885445967,1718.691082
-78.895999,118,-16.8948156991,1740.92792
-81.679027,125,-17.292766208,1764.59163
-77.78278,126,-16.1561631741,1788.485193
-81.387459,122,-17.4335186717,1811.923219
-76.97331,122,-15.6261095079,1834.800123
-81.00675,125,-17.7289165053,1857.754065
-80.16884,126,-16.5379810528,1881.579274
-79.714443,120,-16.6479888219,1905.903439
-82.36863,125,-17.3125788532,1929.564713
-80.408521,126,-15.9546509285,1953.409481
-81.376922,129,-16.1653108095,1978.253944
-79.961241,120,-16.7256649323,2000.870133
-82.362473,129,-18.0102515832,2025.006353
-81.277769,125,-16.6464887492,2049.208808
-80.083172,124,-16.1893513379,2072.992951
-80.006879,128,-16.1726489428,2097.801313
-80.005641,124,-17.1296940164,2120.662842
-80.918456,123,-17.1105201484,2143.317009
-81.178051,127,-17.1800805253,2166.805405
-79.518368,120,-16.3910759901,2188.97953
-80.369437,126,-16.1240324089,2213.277753
-80.728949,123,-16.5656881492,2236.655993
-80.85241,122,-16.9818822624,2259.802419
-79.025044,129,-15.7733882118,2284.670187
-79.319453,130,-15.5595885598,2311.09163
-79.617514,121,-16.150817145,2334.014351
-80.034654,125,-16.4139901671,2357.32794
-81.448949,130,-17.474676616,2382.065024
-82.336712,135,-17.1038098415,2407.386857
-79.862251,123,-16.1305998961,2430.200114
-81.473272,124,-17.7001573509,2453.340378
-81.056401,131,-16.8420483456,2477.554094
-79.067568,124,-16.3172079986,2500.515667
-80.128668,118,-17.3568485516,2522.951259
-77.015547,129,-15.6338327286,2547.176305
-81.731811,126,-17.2290148984,2571.632428
-79.995197,123,-15.956303005,2594.515434
-80.523875,122,-16.6748634755,2618.197207
-81.406716,128,-17.0557969165,2641.704881
-79.81439,119,-16.9720378247,2664.442417
-80.29895,123,-17.2903199069,2688.651577
-81.088148,126,-18.2104085472,2712.612107
-80.25413,127,-16.6266477809,2736.516038
-78.15391,126,-15.966907656,2760.596509
-81.371328,129,-17.0031282584,2786.234875
-80.788779,128,-16.4913771585,2811.146087
-78.932723,122,-15.8195040341,2834.867449
-80.304309,119,-17.182690265,2856.964151
-79.479215,130,-15.5816751037,2881.085273
-79.881545,122,-16.3347405569,2904.160379
-79.451657,125,-15.88171181,2927.701076
-80.227808,125,-16.2043744272,2951.412318
-79.956213,131,-16.0416603178,2976.190467
-80.905989,124,-18.0176134696,2998.381945
-78.66035,127,-16.1269300405,3022.098429
-79.290574,119,-16.7276130648,3044.067724
-79.620851,129,-16.7204610427,3068.399909
-80.162445,124,-16.6684657311,3090.764794
-84.452999,143,-17.2195587848,3116.848906
-81.035912,125,-16.6755435991,3139.509289
-80.965473,123,-17.7345925412,3161.973701
-78.69241,128,-15.4959386148,3185.243595
-80.218451,123,-17.3085844546,3207.995949
-78.667201,122,-16.2078314769,3230.284922
-77.422939,121,-16.0597278805,3252.080414
-79.744011,131,-16.1795746704,3276.436123
-80.488391,126,-15.9553187343,3299.247151
-79.372307,126,-16.1380715034,3321.848933
-77.661133,122,-16.7648003491,3343.910643
-79.846454,128,-15.6932748668,3367.748988
-81.334657,127,-17.1111122406,3390.09385
-82.640267,138,-16.5077643382,3415.303231
-81.332133,125,-17.2395791605,3439.845568
-80.250473,127,-16.2566335831,3463.22169
-80.599199,131,-17.0056313822,3487.793167
-80.774476,121,-16.7497938291,3509.900714
