#{"t_start": 1512266870.7786415, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-80.342511,124,-16.4801848309,20.638564
-78.940626,126,-15.2663060762,42.04737
-79.854506,123,-16.9870709677,63.194531
-80.702012,121,-16.6440625289,84.363311
-78.692513,122,-16.9343411574,106.248575
-80.804293,123,-17.1748448293,127.45506
-80.372816,124,-16.4434683452,150.67293
-81.583642,120,-17.113851202,172.470751
-81.396738,124,-16.4399419737,194.743601
-79.624966,125,-16.2952377935,217.998119
-82.387383,127,-17.2606372253,241.35014
-81.900119,127,-16.8602657205,263.933543
-80.16373,121,-16.3612754557,285.475735
-78.404471,122,-16.5131510935,308.30469
-80.531901,121,-16.3025462265,330.897919
-78.927083,119,-16.2220170953,351.905415
-81.017749,120,-16.941527026,376.430706
-80.127008,120,-16.8625886836,399.684602
-82.34772,126,-17.2093328112,422.120567
-79.844116,121,-16.3275605606,443.454808
-80.208161,123,-16.2787770601,466.253946
-80.357575,128,-15.8918540946,490.150802
-81.551541,121,-16.7586436725,512.096545
-80.667068,119,-17.4352820634,533.710475
-79.213097,121,-16.5966234106,556.166535
-82.971133,125,-18.6152499451,579.077872
-79.58129,119,-16.1902513938,600.61977
-81.17503,123,-17.2673742961,623.147736
-79.486573,119,-16.8147372092,645.151688
-81.50977,128,-16.9208975719,669.329841
-80.342299,126,-15.9571507253,693.223361
-81.375293,123,-17.2198383716,715.143686
-81.327534,120,-17.1759672421,737.749443
-80.016624,124,-16.6809630979,762.435767
-81.683638,124,-16.8101702277,785.239989
-79.155044,126,-15.5475338978,808.268867
-79.517367,120,-16.1902163566,829.880192
-81.261876,124,-17.1424150917,853.282869
-79.979826,122,-16.5794651421,875.57576
-80.784137,120,-17.0463128301,897.036551
-78.702147,122,-15.8682550309,919.354379
-80.084618,120,-16.8020284024,942.292984
-80.329662,118,-17.3133087643,964.17387
-80.424693,119,-16.6610873725,985.903544
-80.859899,124,-16.4776572446,1009.052693
