#{"t_start": 1512266870.7000403, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-77.717861,120,-15.8244752983,19.640121
-80.788091,124,-16.788695405,40.859395
-82.563232,125,-17.2182411571,62.364913
-81.138137,125,-16.5796619183,84.417845
-79.24593,124,-16.0076792361,106.836873
-78.124374,118,-16.5799468554,126.853354
-81.22349,119,-17.3407863134,148.805968
-82.603005,122,-17.3972304788,171.20519
-79.35475,125,-15.6133229004,193.83588
-78.707192,119,-16.8885638588,215.752065
-80.986156,123,-16.5994844524,238.079226
-80.252451,122,-16.2302710981,259.990996
-82.318693,120,-17.6097512782,280.78969
-82.521654,123,-17.9398359932,303.941754
-79.068752,122,-16.0643915222,326.818313
-79.925152,123,-16.3088797585,349.1146
-80.638372,127,-17.0185227914,374.721588
-80.986762,126,-16.7089769503,399.329575
-84.36004,126,-19.7521022459,421.788371
-78.450684,120,-16.080270169,442.785623
-80.858878,125,-16.6189159968,466.209226
-81.469497,121,-16.8924651185,488.577476
-81.333756,126,-17.1191648777,511.519065
-79.771704,120,-16.8960496072,533.305741
-81.803958,122,-17.0333737562,556.049293
-79.615512,121,-16.5389532357,578.190265
-80.162874,119,-16.4157406719,599.790366
-81.793501,126,-16.9537062592,622.794781
-80.254949,120,-15.9739797776,645.014168
-80.895621,124,-16.4165768455,668.426233
-78.714048,121,-15.5336893098,691.179649
-78.915581,123,-15.7272730735,713.165242
-81.263631,123,-17.2058292143,736.289016
-80.061104,118,-17.1211284241,759.406019
-80.727987,123,-16.3306778755,782.941336
-81.410045,123,-17.2780603906,805.004841
-81.735365,123,-16.7729182636,827.328176
-81.00878,123,-16.5509458303,850.304944
-79.163289,122,-15.9642752175,872.929111
-79.585541,120,-16.653839201,894.35902
-80.270747,125,-16.5493943203,917.006558
-79.913325,119,-16.6470732723,939.848992
-81.296577,118,-17.9187812792,961.760965
-80.509504,119,-16.8202537433,983.554346
-81.619817,125,-17.9048292981,1006.665914
-80.450596,120,-17.2392771237,1028.997473
-80.407092,120,-16.7636677838,1051.317304
-79.463406,125,-15.5533740714,1073.61356
-83.48759,133,-18.2158951524,1098.086195
-80.914134,126,-17.0342569027,1121.70475
-80.261524,119,-17.2515633013,1145.049829
-79.28004,122,-16.4364078224,1167.429693
-80.420909,123,-16.3740480696,1190.374368
-78.461795,133,-15.7112439033,1215.449846
-81.741572,122,-18.1924656578,1237.946151
-81.186318,132,-16.461304954,1262.894629
-79.223494,121,-16.2199291304,1285.818847
-81.379487,129,-16.5508298007,1309.928459
-81.030874,120,-16.8927558344,1332.57799
-83.724233,131,-19.358713836,1357.612445
-79.829981,123,-15.9798034438,1381.429719
-82.5496,126,-17.2557527733,1404.954514
-81.214375,121,-17.3925438263,1427.922217
-79.840881,126,-16.3533844068,1451.430902
-81.484459,119,-17.5055087948,1474.361653
-79.930896,122,-16.8702167154,1496.292991
-80.252402,124,-16.6384943771,1520.567496
-79.269695,121,-16.3165116454,1542.689758
-79.0308,125,-15.9248559441,1565.83264
-79.897552,126,-16.3556463291,1589.00079
-81.508584,124,-17.3728490957,1612.41243
-81.854843,128,-17.3784488613,1636.195902
-80.994255,130,-16.246622278,1660.395526
-79.103181,129,-15.0306944989,1684.868593
-79.601271,120,-17.0293798862,1707.422969
-79.262862,124,-16.304989046,1730.216191
-80.097703,124,-16.3340687168,1753.869405
-80.494638,127,-16.7694074868,1778.083292
-80.98458,126,-17.7835334973,1802.06523
-78.853113,123,-16.1765520651,1825.487041
-81.643694,129,-16.5903616999,1849.290156
-80.10963,122,-16.2078679766,1872.13588
-79.739919,121,-16.6801126612,1895.462202
-80.716311,129,-16.8662134465,1921.694083
-80.511194,124,-16.4118157345,1944.534062
-80.940671,120,-16.8275474516,1967.976009
-81.106688,123,-16.7642373662,1991.176908
-81.724489,126,-16.6618169881,2014.965593
-80.78719,125,-16.3100324854,2038.476691
-80.547928,121,-16.7258102536,2061.78176
-81.197017,122,-17.1646254011,2085.225777
-81.186001,124,-17.4197233839,2108.902418
-78.02808,123,-16.5501669471,2131.556627
-80.705122,123,-16.5866036701,2153.844171
-81.25673,129,-16.3396500658,2178.182087
-81.445583,132,-16.8084520219,2203.628418
-79.656829,121,-17.1436866251,2226.408335
-81.721401,123,-17.8470534433,2249.896473
-79.878788,124,-16.3764370819,2273.284211
-80.51212,123,-16.1246136686,2298.523605
-79.528439,122,-16.9155374525,2322.046361
-80.285193,124,-16.371927666,2344.921619
-80.510461,124,-16.4525598771,2368.268468
-82.222897,132,-18.900203013,2393.626945
-79.965057,125,-15.987854815,2416.607719
-81.537613,123,-17.2917524557,2439.437466
-79.816916,127,-15.7468199649,2463.137583
-81.520702,124,-18.1477736717,2485.98479
-81.064248,119,-18.2597922326,2508.715305
-77.806782,124,-16.5824962381,2531.85203
-80.803888,120,-17.7634589438,2554.85289
-76.153782,126,-15.5804462703,2578.99748
-82.772466,126,-18.282875523,2602.459771
-80.380207,121,-16.8971739821,2625.060495
-79.346373,127,-15.7436219807,2649.104464
-78.365389,122,-16.1328596602,2672.449013
-80.064872,125,-16.007839857,2697.111467
-79.361594,126,-15.9633074511,2720.700401
-80.344807,121,-17.4742248845,2743.757437
-85.504704,136,-18.7445586982,2769.795248
-80.068347,123,-16.5534454228,2794.526788
-81.127279,128,-16.1120691324,2819.65601
-82.528962,135,-16.6565017737,2845.027454
-80.740694,125,-16.1220029621,2868.70065
-79.880436,127,-16.5147299613,2892.345436
-79.435646,124,-16.6592752452,2915.420045
-79.921222,124,-16.7033726285,2938.933718
-79.662467,124,-16.4869276639,2962.39226
-80.251236,126,-16.151058373,2985.698976
-80.6715,126,-16.7927307336,3008.871865
-81.449152,124,-17.5829570225,3031.544135
-79.232396,128,-15.840365645,3054.391654
-81.553839,132,-16.3933357588,3079.615159
-78.946006,129,-15.7256361963,3103.247771
-80.96839,123,-16.5487650187,3125.571368
-81.173697,127,-16.6312615035,3148.571139
-79.519585,125,-16.272491409,3171.428766
-79.324442,124,-16.62272797,3194.145929
-78.341955,128,-15.9186312175,3217.576646
-78.730099,118,-16.2998897682,3238.954625
-80.09233,128,-15.8873812968,3262.999743
-79.31689,124,-16.0600039575,3285.397088
-80.924754,124,-16.5171482937,3308.076836
-79.968382,133,-15.9485209806,3331.907293
-80.498535,127,-18.0047697025,3355.03019
-81.090782,123,-17.2953610311,3377.182459
-80.466843,126,-16.8956311787,3399.760981
-80.26579,125,-16.1858200457,3422.477544
-80.350676,127,-16.6945100902,3447.596184
-80.271508,130,-16.5309822003,3471.61497
-79.297891,123,-16.4372111245,3494.468058
-80.126061,131,-15.6964090985,3518.166001
-79.971001,123,-17.1141310313,3540.582222
-80.884159,135,-16.4799032676,3565.351493
-80.177379,123,-16.5946818025,3587.238545
-77.920299,126,-16.9733095186,3610.192956
-78.47543,128,-16.1215445292,3632.800116
-79.276671,121,-17.0276775282,3655.052795
-78.878459,127,-15.3423136357,3678.53866
-81.641784,139,-16.2132586793,3703.299713
-80.061586,121,-19.1260531058,3724.73759
-79.807912,124,-16.1281732361,3746.708881
-80.9007,127,-16.4374794576,3769.182448
-80.82007,134,-15.8859716234,3793.85046
-80.854493,131,-16.1772737325,3818.802175
-80.503141,134,-17.117771754,3843.107753
-79.784445,124,-15.879993725,3865.883395
-77.952475,128,-15.3501213355,3888.99755
-81.314137,135,-15.9550655678,3913.201147
-80.219974,128,-18.430741854,3936.259113
-80.109295,129,-16.2329874004,3959.909766
-81.255946,130,-17.7788561705,3982.991705
-79.405126,126,-16.6856054735,4006.032805
-80.124372,139,-15.7082291543,4030.948481
-79.035921,130,-15.5716768265,4054.22095
-81.905607,133,-16.8913621183,4078.706039
-79.807154,126,-16.1224047115,4102.447015
-80.855898,132,-16.1227969129,4126.099646
-81.075892,128,-16.7034565323,4149.417902
-81.898902,137,-16.270742312,4174.818966
-81.316449,127,-17.1691595086,4199.061161
-79.341354,127,-16.9373410781,4221.899364
-78.993534,131,-15.5281289641,4245.384916
