approxkl,eplenmean,serial_timesteps,nupdates,clipfrac,value_loss,explained_variance,eprewmean,policy_loss,policy_entropy,total_timesteps,time_elapsed,score,fps
0.00256462,120.85,77824,38,0.153082,28.5742,0.8892126679420471,63.97229994,-0.00529465,24.2931,1245184,13095.957561016083,22.7053013239,89
0.00251127,121.11,79872,39,0.147467,27.1172,0.8847958669066429,64.823453,-0.00458215,24.3037,1277952,13465.21865105629,23.0511875375,88
0.00263213,121.23,81920,40,0.156454,25.281,0.8814432919025421,64.81547067,-0.00521938,24.3158,1310720,13832.815222024918,23.6328026712,89
0.00261391,120.29,83968,41,0.156201,24.2344,0.8861299902200699,64.86167194,-0.00487734,24.3302,1343488,14202.864955425262,23.4366641185,88
0.00246973,121.95,86016,42,0.144604,24.2565,0.8550207316875458,66.52573185,-0.00458771,24.335,1376256,14582.147523403168,25.780522208,86
0.00249181,122.5,88064,43,0.145688,22.496,0.8659928292036057,66.9225745,-0.00481747,24.349,1409024,14961.44584274292,25.6079385557,86
0.00248107,123.28,90112,44,0.145029,20.9513,0.8720876574516296,68.5545399,-0.00453978,24.3538,1441792,15338.829595327377,26.0217085716,86
0.00254927,122.13,92160,45,0.150986,19.9132,0.8657163381576538,67.73690576,-0.00512742,24.3792,1474560,15721.67878818512,25.8763583063,85
0.00249611,122.04,94208,46,0.146194,19.5261,0.87042036652565,68.57523501,-0.00495144,24.4003,1507328,16110.961850643158,25.9752828703,84
0.00253892,123.75,96256,47,0.148639,18.9211,0.866912916302681,70.0189274,-0.00480291,24.4366,1540096,16501.400643587112,27.6336727605,83
0.00239795,124.3,98304,48,0.140356,18.5051,0.8685483783483505,70.95566978,-0.00450767,24.4538,1572864,16898.63498020172,28.3254198123,82
0.00245169,123.2,100352,49,0.144208,17.6495,0.8636827021837234,70.67822976,-0.00460234,24.457,1605632,17300.803740739822,27.8157593093,81
0.00259577,123.45,102400,50,0.154092,17.7409,0.8676678985357285,72.88268563,-0.00443465,24.4735,1638400,17705.778240919113,28.7467403413,80
0.00254938,124.2,104448,51,0.149738,16.9626,0.863771453499794,73.33354447,-0.00476092,24.5005,1671168,18114.840218544006,29.5425554213,80
0.00239837,124.91,106496,52,0.13884,16.6148,0.8669435530900955,74.00023059,-0.00441183,24.5007,1703936,18528.098640680313,30.3442282083,79
0.00253502,126.3,108544,53,0.146451,15.7904,0.8653363734483719,74.61210355,-0.0048552,24.5143,1736704,18947.34073972702,31.1788011703,78
0.00235114,127.01,110592,54,0.134979,15.2103,0.8655198216438293,75.56595314,-0.00410719,24.5286,1769472,19369.43606543541,31.8556983871,77
0.00235047,127.75,112640,55,0.137149,14.6897,0.8660460561513901,75.93933454,-0.00496083,24.5431,1802240,19798.956820487976,32.5486329771,76
0.00234499,126.76,114688,56,0.134973,14.7629,0.8656767308712006,76.66271765,-0.00400313,24.5535,1835008,20230.304011821747,32.3141918044,75
0.00235274,128.36,116736,57,0.133957,14.0499,0.8693274557590485,77.59330438,-0.0039697,24.5714,1867776,20664.491848230362,32.9019844731,75
0.00236415,128.87,118784,58,0.135403,13.9606,0.8689771890640259,78.41104873,-0.00417528,24.5724,1900544,21102.748692512512,33.8603840745,74
0.00251588,129.2,120832,59,0.147626,13.089,0.878061942756176,78.35885996,-0.00455704,24.5658,1933312,21541.760106563568,33.7106444715,74
0.00230108,129.14,122880,60,0.133072,12.7766,0.8800310268998146,78.69221633,-0.00426387,24.5862,1966080,21972.600142240524,34.014874809,76
0.00248001,129.47,124928,61,0.145483,12.5641,0.8826727345585823,79.9053244,-0.0045246,24.5944,1998848,22395.286368846893,34.7603800483,77
0.00223586,131.0,126976,62,0.126886,12.0406,0.8892719447612762,80.69703519,-0.0035091,24.599,2031616,22821.606776714325,35.4430326679,76
0.00249335,131.84,129024,63,0.145416,11.416,0.8986878842115402,81.0922873,-0.00451771,24.6072,2064384,23247.68498802185,35.935665197,76
0.00229926,131.87,131072,64,0.13241,11.0445,0.9023222699761391,81.35384061,-0.00305742,24.6286,2097152,23685.82058238983,36.5330342018,74
0.00230576,131.21,133120,65,0.132919,10.6108,0.9050585106015205,81.57539623,-0.0035937,24.6432,2129920,24112.544062137604,36.2445305673,76
0.00227985,132.22,135168,66,0.130978,9.49129,0.915162667632103,81.97022631,-0.00386388,24.6563,2162688,24529.537391662598,36.8676867037,78
0.00247896,131.83,137216,67,0.145084,8.93073,0.9195188134908676,82.05310784,-0.00388059,24.6615,2195456,24946.484549999237,36.7107707096,78
0.00234795,132.36,139264,68,0.135165,8.70761,0.9237632304430008,82.39682929,-0.00377676,24.6741,2228224,25368.962290525436,37.400008098,77
0.00237251,132.94,141312,69,0.136682,8.04423,0.9279591292142868,82.43528536,-0.00373145,24.686,2260992,25792.695110082626,37.609024277,77
0.00225009,131.91,143360,70,0.129855,7.80048,0.9332976564764977,82.52128521,-0.0033332,24.6818,2293760,26214.027186870575,37.2906710248,77
0.00248873,132.14,145408,71,0.144632,7.1376,0.9378192760050297,82.62735076,-0.00423947,24.6871,2326528,26626.1587600708,37.5810307847,79
0.00236588,132.67,147456,72,0.13674,6.86558,0.9424696639180183,83.28382117,-0.00357248,24.6845,2359296,27043.736491918564,38.1063938425,78
0.00234372,132.79,149504,73,0.134457,6.225,0.9476801566779613,83.4417973,-0.00387689,24.6887,2392064,27470.023723363876,38.387802544,76
0.00233824,131.57,151552,74,0.13515,6.10256,0.9522117413580418,83.810703,-0.00359533,24.6731,2424832,27901.15864944458,38.1221390524,76
0.00239125,132.19,153600,75,0.139545,5.54841,0.9575093165040016,83.78762177,-0.00368832,24.6711,2457600,28332.541377067566,38.4031315216,75
0.0023848,133.78,155648,76,0.137479,5.06779,0.9606109857559204,83.73961996,-0.00377245,24.6805,2490368,28761.670557498932,39.2484740407,76
0.00250274,132.08,157696,77,0.147192,4.91936,0.963528711348772,84.16779081,-0.00384677,24.6678,2523136,29184.895632267,38.6273413789,77
0.00231544,130.87,159744,78,0.132501,4.6535,0.9658526629209518,83.90505516,-0.00318368,24.673,2555904,29622.584619522095,38.3417227447,74
0.00232677,131.84,161792,79,0.132962,4.36773,0.9668294750154018,83.80307187,-0.00336142,24.6754,2588672,30064.263128757477,38.9416630799,74
0.0023649,131.45,163840,80,0.135623,4.06891,0.9685693420469761,83.96609175,-0.00426444,24.6759,2621440,30558.37271118164,38.7526367343,66
0.00244972,131.09,165888,81,0.142511,3.83113,0.9720183983445168,83.86341249,-0.00399644,24.6718,2654208,31083.606559038162,38.7274736907,62
0.00246496,130.78,167936,82,0.144183,3.62091,0.9723006244748831,83.84119963,-0.00377368,24.6577,2686976,31658.076243400574,38.7847031299,57
0.00232764,130.93,169984,83,0.133261,3.4773,0.973525308072567,84.0278366,-0.00340116,24.6508,2719744,32294.481728315353,39.1515814076,51
0.00234223,131.38,172032,84,0.135553,3.21602,0.9758036993443966,84.18168325,-0.00377343,24.6475,2752512,32930.06107091904,39.35492074,51
0.00236719,130.59,174080,85,0.137033,3.24662,0.9749065600335598,84.52765076,-0.0038311,24.6459,2785280,33559.62170171738,39.2164989088,52
0.00233244,130.7,176128,86,0.134555,2.89438,0.9771593008190393,84.37646894,-0.00363191,24.6466,2818048,34193.092487573624,39.4977823709,51
0.00233143,130.96,178176,87,0.134085,2.58967,0.9788847845047712,84.12179712,-0.00369942,24.6329,2850816,35040.82037138939,39.472897879,38
0.00243392,130.59,180224,88,0.142755,2.45159,0.9807711075991392,84.38133492,-0.00335785,24.6259,2883584,35916.800570726395,39.4017343255,37
0.00232502,130.71,182272,89,0.134735,2.28271,0.981963561847806,84.29416345,-0.00336731,24.6116,2916352,36804.0144033432,39.5858913113,36
0.00230051,129.89,184320,90,0.132077,2.22118,0.9816541522741318,84.30181017,-0.00310115,24.6052,2949120,37698.06441283226,39.4340508451,36
0.00231789,129.6,186368,91,0.135413,2.0146,0.9835806246846914,84.61675827,-0.00334855,24.6031,2981888,38576.72710132599,39.4154320435,37
