#{"t_start": 1512501408.9185789, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-78.095451,130,-16.3175234675,19.745557
-79.57899,127,-15.8038917562,38.505298
-80.370223,134,-16.1735794316,58.346971
-81.877845,133,-17.2529501517,79.060812
-78.484086,125,-15.6267173728,97.825062
-80.59071,128,-16.9675375197,118.753209
-80.650725,125,-16.6032430396,138.486694
-82.981925,137,-17.5755372263,160.522168
-80.852497,127,-17.353740542,180.494467
-81.172706,134,-16.8725365488,201.888677
-78.59978,122,-15.9123999793,222.444865
-80.066945,136,-18.4578398912,243.79531
-84.478342,124,-18.7942489697,263.153696
-80.231894,133,-16.241401525,285.968034
-80.028408,130,-16.1054867071,307.084327
-77.042274,126,-15.1080734917,329.738838
-79.912406,131,-15.7073230261,350.304342
-81.918068,130,-18.5277141799,370.362993
-81.203725,125,-17.1224887576,389.982864
-79.766124,133,-15.7670300121,410.492006
-79.47436,129,-15.8718807163,430.70054
-79.91511,132,-16.1701689089,451.692212
-79.993588,132,-16.487758163,473.761126
-79.311614,127,-16.4045730139,494.799903
-81.338741,134,-16.8459970205,516.7704
-79.931903,131,-16.2783623984,537.358416
-81.044769,136,-16.621136793,558.462779
-79.448133,128,-16.3916883298,579.001721
-79.418072,130,-16.4294868064,600.148705
-80.562081,130,-15.8617667762,621.388933
-80.335639,127,-16.8076156277,642.140788
-80.227218,133,-15.7011009745,666.331882
-83.388872,135,-17.3957582131,687.701535
-80.391459,129,-16.2901584674,709.005465
-81.296315,137,-17.899853763,730.945385
-81.189503,131,-17.6351794692,751.193528
-80.244244,129,-17.0521022451,772.14887
-81.215586,141,-15.9570115792,795.254927
-80.529347,124,-18.6424762633,815.512668
-79.744851,136,-16.6141816509,837.986267
-78.43364,135,-15.307152402,860.706753
-79.412921,135,-15.9940023076,882.191309
-81.38115,125,-17.286075086,903.080268
-80.840794,125,-17.3787648201,923.653261
-79.855254,138,-15.8447228812,946.128403
-77.275085,121,-16.3902411442,965.265226
-76.450564,130,-15.4227729351,985.360669
-81.600189,141,-16.2013804619,1009.503138
-81.187594,133,-16.0344143772,1030.412433
-79.174655,135,-15.9332336467,1052.585536
-80.314489,131,-16.7771606902,1073.059917
-79.99276,143,-16.319164279,1096.570379
-80.245826,130,-16.8852888627,1117.613211
-79.798086,134,-14.7528352267,1138.754801
-82.265728,134,-17.3224022831,1160.160567
-80.796118,127,-17.9985840135,1181.405824
-79.798256,124,-16.4591084195,1200.72813
-79.155759,134,-15.0747173573,1222.236634
-82.506091,142,-16.4383182045,1245.33423
-81.063169,131,-18.1790841106,1266.195531
-77.707615,129,-15.2714864287,1286.146113
-78.079901,128,-15.5470491851,1305.812501
-79.926528,125,-16.1123205645,1327.060874
-78.980349,132,-15.9406977107,1348.070306
-81.069537,153,-21.7725490517,1371.254486
-79.873269,143,-14.8904049767,1394.082182
-80.381458,135,-16.2530284069,1416.125944
-80.63873,124,-16.7120749219,1435.259986
-80.224462,144,-15.9844753242,1459.40875
-79.600686,127,-15.2990241528,1480.319653
-80.332399,129,-16.3492627871,1501.055802
-80.038591,129,-16.5977381706,1521.909011
