#{"t_start": 1512501409.0840683, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-79.594474,131,-15.8506720217,19.690188
-80.617682,127,-17.0086834848,38.496865
-80.778813,127,-17.4435243548,57.172663
-81.35042,140,-16.7358365057,79.021897
-80.86012,128,-16.3838798014,98.418036
-79.609613,128,-16.2031472835,119.339099
-82.128677,129,-17.2691330915,139.433264
-81.041399,134,-16.3853438035,161.139926
-79.353084,134,-15.8977190385,182.146786
-80.093078,123,-16.5596954501,201.905374
-80.81184,130,-16.6096349494,223.759215
-80.463551,125,-17.2082201533,243.344542
-79.046475,130,-17.0302521475,263.691009
-79.704333,131,-16.0212885932,286.222854
-80.555323,137,-16.545479335,308.419114
-77.751177,136,-14.8746223107,332.473322
-78.966737,121,-16.0459701023,351.656022
-77.083028,129,-15.4478311683,371.690497
-79.974215,126,-16.4953163959,391.418324
-78.437173,128,-16.0449682896,411.036119
-81.371087,129,-18.0121996332,431.102178
-79.716262,132,-15.5990742369,452.231612
-79.913924,130,-16.0241176393,473.939791
-79.844859,134,-15.9423104961,496.225472
-79.861935,124,-16.1812551535,516.4309
-80.238152,134,-15.8669890132,537.545235
-79.538788,123,-16.3253868092,556.296694
-81.53671,132,-16.3571116488,577.609188
-82.243233,128,-17.2711125777,598.342619
-79.715918,127,-16.4757470374,619.335139
-80.104967,145,-15.128723334,643.181849
-80.421097,135,-16.0310040575,667.472918
-79.249245,134,-16.2229441553,688.880023
-79.586997,141,-14.5476913598,711.73863
-83.878815,141,-18.561216913,734.537112
-77.801341,127,-15.9431994623,754.074163
-78.827221,124,-16.4512471001,774.402568
-79.823971,131,-16.8288368637,795.974847
-80.066646,125,-16.0174827085,816.350629
-80.681207,132,-16.1078649993,838.066933
-79.087425,133,-15.5485706634,860.390716
-83.377576,141,-17.1220899035,882.918966
-80.642883,141,-16.0863967167,906.36629
-79.319766,124,-15.9104376257,926.850156
-81.667345,137,-17.1964717753,949.314244
-79.169829,125,-16.9425437109,968.51453
-80.408894,132,-16.9860078344,990.3943
-77.487205,134,-14.4121800596,1012.096059
-79.662294,142,-15.2850326198,1034.971865
-81.431483,128,-17.2077075921,1055.709527
-82.121198,166,-13.5245033699,1081.900247
-80.813221,145,-16.0734772719,1105.743652
-79.87648,123,-16.6548808757,1125.772905
-78.858798,137,-15.4390874434,1146.837828
-80.403471,124,-17.5263021662,1166.904539
-79.167483,135,-15.7180391909,1189.592112
-79.689538,124,-15.8628877477,1208.860004
-81.85428,141,-16.7947502853,1231.157872
-79.951829,139,-14.6884303305,1253.575994
-78.57661,128,-15.7916450667,1274.108964
-80.021007,126,-16.5100800096,1293.508316
-81.467793,122,-17.2192076881,1312.32281
-76.451304,126,-15.7395190861,1334.212259
-80.971391,136,-16.1603585788,1355.303752
-81.343589,128,-16.8310092351,1374.664407
-80.399457,129,-16.482654282,1395.462502
-79.13892,149,-14.4909888942,1419.723693
-79.744046,134,-15.4146456252,1440.573542
-76.172234,153,-11.6054732181,1465.974247
-79.435039,125,-16.8770177047,1486.698583
-80.174096,140,-16.6416994025,1508.830347
-80.023577,150,-14.3453731205,1533.685094
-81.285259,129,-17.9032118001,1555.05419
-81.043894,138,-15.5177048762,1577.765092
-80.919339,138,-16.3709467862,1599.099821
-81.895946,130,-17.0187300758,1620.939506
-77.914128,130,-16.0945196337,1642.099047
-78.282902,134,-16.0083356951,1665.026717
-80.23635,168,-15.6332443903,1692.284584
-79.122913,134,-15.7896919842,1714.875292
-81.41566,136,-15.8423234175,1738.04563
-77.837448,160,-12.520215007,1765.371182
-81.06659,137,-15.872352591,1788.014392
-81.727068,133,-17.2833953609,1809.007477
-80.060417,129,-16.7714126449,1830.239725
-81.048076,132,-17.3519230861,1851.269017
-80.524449,140,-15.5030609395,1874.357759
-80.081167,144,-17.2331013533,1898.793081
-81.210909,148,-14.4039376499,1922.364086
-78.132363,137,-16.6408021709,1944.368209
-80.632351,126,-17.6105571891,1964.55148
-80.602672,137,-16.030785594,1989.851422
-78.739036,120,-16.7888405658,2011.42959
-79.4894,135,-14.9064961677,2033.345154
-80.941956,133,-15.9907995357,2055.812984
-80.374992,134,-17.4457816349,2078.543493
-78.848212,130,-16.9018379215,2100.39238
-80.261977,148,-15.5204768459,2124.802772
-80.620661,138,-15.6903625368,2148.675148
-78.455713,138,-14.2720054783,2171.312846
-81.009748,138,-15.5910040085,2192.84264
-80.136354,130,-15.293382561,2214.702817
-80.754166,143,-15.0975685129,2238.413921
-80.082193,157,-14.1508208547,2264.134942
-81.850919,144,-16.5299580081,2288.719128
-80.560263,150,-14.3177924842,2314.436245
-78.700859,135,-15.7358582046,2338.242967
-79.79934,143,-15.8526043382,2361.523778
-81.455487,126,-17.2118469393,2382.111962
-81.47442,142,-15.870127202,2405.311448
-81.381916,164,-13.1241637897,2432.523827
-77.26189,128,-15.5240716409,2453.287087
-81.324778,138,-16.5630101288,2475.403806
-79.035614,137,-15.7889711505,2496.841199
-77.662147,139,-13.9931107446,2519.943906
-79.737132,141,-14.9776062932,2544.875045
-79.865496,131,-17.5786496019,2565.6956
-78.119927,138,-15.5616242022,2588.05433
-81.978281,163,-14.6528564406,2616.420928
-80.908819,146,-17.6182407855,2640.2233
-80.707175,133,-15.8600567866,2661.178622
-80.422386,137,-16.3593831721,2685.835858
-81.990604,135,-19.328012027,2708.899958
-78.832404,131,-15.2633143966,2729.130457
-80.341042,139,-16.1091989275,2751.717527
-78.494091,142,-15.6161117809,2773.072446
-79.336574,161,-16.3326605328,2798.718954
-79.605285,133,-15.8565619096,2820.340593
-80.587017,143,-14.1994966413,2842.998437
-79.547274,138,-15.1798450566,2865.467053
-80.051416,138,-16.3712834434,2887.313943
-80.637059,143,-15.3764816954,2910.474661
-79.199118,130,-15.5905079161,2930.139195
-81.356178,132,-17.7246268945,2951.080559
-83.734624,154,-17.1130284554,2974.708217
-78.795968,136,-17.6029780922,2996.61728
-80.120095,147,-13.894608603,3017.226781
-81.443819,140,-15.6427668965,3039.291317
-81.451883,135,-17.2442825169,3061.051183
-80.797883,146,-14.7965869895,3084.310582
-81.943008,137,-15.734966498,3106.965466
-80.540163,172,-14.0191444427,3133.394202
-80.316082,153,-15.1243837701,3158.740813
-79.672582,142,-14.605471193,3181.358614
-80.047264,139,-16.1529677704,3203.893287
-80.761485,141,-15.0407203841,3227.106943
-82.219915,142,-17.3234346744,3250.727299
-81.056729,169,-11.9881207225,3278.399408
-80.575983,135,-15.9532151556,3300.532331
-81.539098,140,-18.7690400462,3323.480887
-76.464407,138,-17.7465217099,3346.914261
-78.530413,171,-10.9266196099,3375.311117
-81.225532,131,-17.5754461261,3395.759999
