#{"t_start": 1512501408.9346328, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-77.508652,127,-14.0685053669,19.182776
-81.151205,131,-16.9912064692,38.592248
-75.379598,152,-13.3195687087,61.668327
-80.094236,131,-16.4755102851,82.267377
-81.382365,125,-16.9501853529,100.748336
-80.40626,132,-16.3870348581,122.421791
-80.397387,124,-18.5244988509,141.346101
-78.391525,132,-16.0238661424,163.144941
-80.599313,127,-16.413342097,182.8584
-79.073889,126,-15.9691193293,203.238325
-81.26878,132,-17.197319095,225.358018
-78.984349,129,-15.7704485776,245.666818
-80.822223,130,-16.2572198302,266.235135
-81.519893,133,-16.0137616296,288.265915
-79.897686,125,-16.8527707577,308.966279
-78.90069,124,-16.1136979888,331.254955
-79.366524,151,-14.9998679683,354.286324
-81.511534,120,-19.5606368544,373.409901
-80.547257,130,-15.9054552735,393.870345
-79.964401,127,-15.9817359707,413.281501
-79.109143,141,-14.476454829,435.528468
-80.590118,133,-16.2511751539,456.571185
-79.044897,129,-15.2103342537,478.441938
-80.962014,126,-16.4097788233,499.33486
-82.497435,136,-16.9317497503,521.323858
-78.989252,128,-16.2746144579,541.201718
-78.236185,128,-15.3494236777,560.864862
-79.062703,130,-15.7052954505,581.850107
-81.735577,129,-17.0048209965,602.936657
-80.021363,120,-17.6656824695,622.889706
-79.990933,123,-16.6463808257,643.242157
-78.730819,123,-15.6458826683,665.608279
-79.783737,126,-16.5605433872,685.536359
-80.547633,136,-15.122227412,707.954412
-76.906813,127,-15.4937025215,728.340723
-80.322688,144,-15.8878368555,750.607675
-79.43569,130,-17.8647187588,771.636527
-80.456698,133,-16.894516358,793.619326
-78.839164,129,-16.0138915425,814.436308
-80.636985,129,-16.134614035,835.927233
-80.488446,137,-16.0270679445,858.814159
-77.929839,126,-16.0906410996,879.098235
-81.599124,137,-16.4710210034,901.839707
-80.498463,138,-14.6969435407,924.416673
-82.018297,140,-16.0144493291,947.402282
-78.844774,138,-16.167157585,968.85156
-77.900647,129,-15.6758818651,990.151144
-82.725613,140,-16.8165237557,1012.874341
-81.431715,122,-17.4014124984,1032.154472
-79.487582,134,-17.7306162164,1054.291863
-80.558838,129,-15.9931754339,1074.370171
-80.487007,129,-17.1059687099,1095.223947
-79.15948,133,-16.1126779958,1117.02634
-79.098087,134,-15.6836196474,1138.199535
-78.988355,132,-17.404447036,1159.08972
-80.111618,129,-16.0723816155,1180.56664
-80.451318,126,-16.5619373719,1200.593594
-81.206806,134,-16.6479567623,1222.016742
-78.713178,132,-14.8208955183,1243.236548
-80.398455,131,-16.8927656807,1264.334699
-81.020182,126,-16.6201831445,1283.760404
-80.491605,131,-16.5252726942,1304.148808
-82.074049,136,-16.5468454905,1327.052853
-81.945258,140,-16.1725000412,1349.235115
-80.988484,143,-16.892862133,1370.750885
-79.694525,133,-15.9769037567,1392.439356
-82.440024,134,-17.6011778952,1413.915181
-80.967261,144,-14.8958082978,1436.401775
-80.438619,131,-17.2587125549,1458.218969
-79.926791,126,-16.4712718523,1478.968683
-81.041869,131,-16.7001587168,1500.245281
-80.370338,139,-16.154650652,1522.696574
-79.75562,123,-16.301487839,1542.696409
-81.543669,140,-17.5203023726,1565.947569
-80.071016,129,-15.6751854989,1586.885163
-80.316294,128,-17.6944371238,1607.021965
-81.018718,138,-16.3944515866,1629.996153
-76.57025,123,-15.6482164201,1651.582785
-79.939435,131,-16.5709577727,1672.182717
-79.744688,152,-14.0610837841,1697.309857
-79.972761,140,-16.139728049,1720.895704
-81.144363,135,-16.1102982262,1744.373138
-79.3309,131,-16.0213213838,1766.541763
-79.804582,154,-15.6429052889,1792.044459
-79.508328,140,-15.0619818718,1813.855396
-79.659449,127,-17.6612039628,1835.225212
-82.319236,140,-16.0836635641,1857.51703
-81.322516,132,-16.3389109238,1879.63624
-82.135605,137,-17.6080320393,1902.713111
-78.447614,137,-16.1396422206,1924.15046
-79.965722,130,-16.4960004319,1945.128609
-79.348884,130,-15.823518646,1966.037812
-78.299252,126,-15.3753918477,1989.224975
-78.908156,143,-15.1641832802,2014.625319
-79.114736,142,-15.6004595039,2037.693401
-79.650315,128,-16.0618248074,2059.600506
-79.148033,137,-15.5415645454,2082.911422
-81.104176,137,-17.8324594879,2105.701474
-81.767784,136,-17.1284285228,2127.86694
-79.706199,139,-15.3217211041,2152.128787
-80.092407,127,-16.7740129691,2172.864557
-81.021889,136,-17.0496256516,2193.980803
-79.342697,132,-17.36894162,2216.54031
-80.788767,153,-16.6649531699,2241.643349
-81.661947,137,-16.3957563734,2264.036347
-82.189596,141,-16.1575008643,2288.194749
-77.54933,135,-15.9191485178,2311.383789
-79.707691,127,-17.3806733367,2333.759427
-78.963176,151,-17.4021678273,2358.420617
-80.548864,137,-16.3598446331,2380.990539
-80.5971,141,-15.9488676845,2403.639346
-80.530526,138,-16.3785213299,2426.554879
-79.12922,126,-16.2786799716,2447.459561
-79.387259,142,-15.2628260312,2470.115497
-78.506371,134,-15.2697336025,2491.041588
-79.492722,129,-15.8933535316,2512.715478
-78.825787,135,-14.909451092,2535.668452
-78.321561,151,-14.0190570689,2560.917286
-81.517502,143,-15.8993161614,2584.118797
-76.442831,127,-15.2928137318,2605.755939
-80.448786,139,-15.8719794461,2629.170093
-79.592461,137,-18.4249364416,2651.088756
-81.173654,127,-16.6242563617,2673.476249
-80.134667,144,-17.2423293845,2697.688397
-80.46797,139,-15.8665663545,2720.186632
-79.634581,145,-15.4913645255,2743.256651
-79.611893,163,-21.3446827763,2768.434476
-80.005892,160,-13.5349115345,2793.405176
-79.803807,129,-16.075730265,2814.435247
-80.156128,151,-13.7478911248,2838.836
-80.576256,155,-14.4181308748,2863.54652
-79.217095,133,-15.9708356235,2884.65062
-81.971081,138,-17.9598412186,2907.399234
-79.560657,151,-13.1439581653,2930.166654
-79.683615,153,-13.7892036127,2954.567072
-82.556702,158,-16.8251012738,2978.546916
-79.863085,161,-13.7722319632,3003.611978
-80.662029,133,-18.7540539798,3023.047014
-81.102298,142,-16.2002748898,3045.326531
-78.815964,138,-16.7517959118,3067.066246
-79.636237,142,-15.0787281332,3090.941457
-80.717012,135,-15.1827923551,3112.453513
-82.180477,137,-15.3265147645,3133.382273
-83.659981,178,-14.2773860056,3162.984412
-81.078597,130,-16.3867633062,3183.687695
-80.286851,148,-15.0214538012,3207.332213
-81.104633,160,-14.5758207825,3234.161767
-79.330962,164,-14.3843820807,3261.135782
-78.675449,133,-15.0438936642,3283.055331
-79.373675,143,-15.252048523,3306.187299
-83.334056,145,-16.3929242058,3331.869525
-80.714255,141,-14.884202041,3354.01071
-80.142475,148,-16.3693217754,3378.515018
-79.66648,158,-15.2283144733,3402.763847
-79.779103,143,-14.66247512,3426.083498
-78.773102,143,-15.7324431719,3449.283932
-79.666195,165,-11.7632935892,3475.688819
-82.377139,200,-8.49261691533,3508.248535
-83.788392,173,-14.5495937648,3534.620293
-79.49597,166,-14.1754089536,3561.35861
-79.839759,139,-15.8663469281,3583.414629
-82.568318,138,-17.6391366663,3604.805526
-79.4917,167,-13.6170705545,3630.116403
-77.610046,132,-15.2917807809,3651.669236
-80.844466,286,7.62099546364,3698.321218
-79.908779,168,-15.4880991945,3724.87226
-82.342094,146,-17.4138043301,3748.132483
-78.66043,145,-15.1284599285,3770.975667
-81.24064,196,-8.64191315091,3800.899918
-80.671047,166,-27.6137451641,3825.876287
-81.792878,149,-17.468783194,3849.718461
-79.484851,180,-12.3532465462,3878.607281
-80.536976,139,-15.3164748127,3900.130263
-78.570391,142,-13.6734488117,3923.144042
-80.89517,141,-16.0908678057,3945.948701
-80.532997,172,-13.3355587074,3972.965647
-81.839122,140,-17.642672637,3996.14552
-79.630047,224,-7.51749961262,4031.970938
-80.895975,175,-17.7098103013,4058.898645
-78.980032,142,-15.825269867,4080.451006
-80.632526,163,-13.1696091899,4108.209446
-79.399064,178,-14.1464368959,4135.348193
-80.841345,167,-13.0788772104,4161.574708
-79.904332,201,-9.53747788858,4193.182078
-80.556191,152,-13.4655853198,4216.746666
-79.940174,147,-15.2966151652,4241.989993
-80.567458,142,-14.6557039675,4264.308478
-78.615369,143,-16.3380583316,4286.64809
-80.462696,137,-16.1207145428,4308.623578
-80.70887,176,-12.6432492033,4337.371619
-79.020329,160,-13.8362772146,4362.184989
-81.238393,150,-16.0569698641,4385.834962
-80.532211,139,-18.1237649443,4407.957747
-81.337081,146,-16.2875879454,4428.994509
-79.594489,147,-14.980989273,4450.802708
63.788826,155,32.1923583509,4475.959356
75.530459,184,43.9717609948,4503.948522
-81.365199,163,-12.7766434463,4528.061688
-79.574552,141,-15.2176374402,4549.295903
-81.278665,322,13.4357177748,4599.292912
-79.65199,144,-14.320964324,4622.099147
