#{"t_start": 1512531663.7341032, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-80.460502,122,-16.9587671727,22.862672
-79.504695,121,-16.4517680044,45.60404
-80.363015,119,-17.5679055337,68.917069
-80.803367,124,-17.1154607151,92.524361
-79.586282,120,-17.2594897783,116.407592
-79.14522,119,-16.3491971211,138.478649
-80.665409,118,-17.6532500511,161.036899
-80.207379,119,-17.0246889784,183.977725
-79.984282,124,-16.444708738,208.501388
-81.271645,122,-17.9956790076,231.727912
-79.443678,120,-16.3286649647,255.327178
-79.711987,118,-17.0281622312,278.345079
-78.021417,121,-16.2606770238,301.379176
-80.90749,122,-16.7554082582,325.072578
-80.121484,118,-17.2432303973,348.860905
-81.280648,120,-17.5765645725,372.729646
-79.146391,119,-16.8056631629,396.312072
-81.069192,122,-17.5993466359,422.077229
-80.174596,119,-17.3134280452,445.781185
-80.419518,119,-17.760715583,467.834791
-81.400774,119,-17.0549736173,491.293496
-81.819613,122,-17.6974249126,516.534103
-81.249149,121,-17.3316987512,541.420996
-81.466959,118,-17.8404764049,565.03921
-81.447466,122,-17.3047702025,590.246771
-79.26063,119,-17.6814387284,614.226693
-80.638154,122,-16.9119918175,638.635246
-81.643773,125,-17.0536182494,665.401368
-79.526033,116,-17.3350895586,688.336215
-79.182781,120,-16.6831120915,713.390608
-80.6038,121,-17.2972794294,737.227031
-79.951683,122,-17.1407340437,762.722281
-78.893093,119,-17.338453285,786.458346
-82.502228,120,-17.7869823041,811.372828
-81.858538,120,-17.8472426638,836.495572
-81.15435,118,-17.7264396524,860.748147
-79.715095,122,-16.5816448306,885.463016
-80.007701,119,-16.6775850481,909.091405
-81.012848,124,-16.9565915407,934.661332
-79.535406,118,-16.6026065755,964.437568
-80.302947,125,-16.5864499435,997.678244
-80.645237,119,-17.2385257781,1023.307496
-79.414616,121,-16.3937191419,1050.517217
-81.050145,122,-16.9249940683,1075.950178
-80.990927,118,-17.338136877,1100.750483
-81.50435,125,-17.3955434618,1126.903476
-79.530164,117,-16.9390167871,1151.061595
-79.873826,119,-17.5688464642,1175.539369
-81.399082,121,-17.4600519583,1202.44927
-79.172655,117,-16.488535798,1232.536911
-82.755105,121,-17.7259704959,1263.797894
-81.10554,119,-16.6548246897,1296.119037
-80.315072,123,-16.7158710336,1326.647546
-79.668501,119,-16.5973622552,1356.525522
-81.317783,120,-16.9228420439,1387.274057
-81.007757,127,-16.8987816903,1420.587234
-79.960276,119,-16.5694859515,1452.375499
-82.411227,121,-17.8574832625,1484.847698
-80.021023,120,-16.680271656,1515.835578
-81.38075,121,-16.5812463625,1547.038167
-82.220615,122,-18.2153323427,1577.790892
-80.918966,119,-17.4720983232,1607.576623
