#{"t_start": 1512531663.7361891, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-78.216431,119,-16.3797506265,22.142852
-80.037912,120,-16.7583289086,44.536224
-82.016014,123,-17.7939588972,68.936184
-81.907113,123,-17.6268925804,92.309494
-79.978031,121,-17.4856350901,116.405964
-79.222387,118,-17.2556355568,138.161449
-81.103337,119,-17.4705941445,161.018424
-81.710046,119,-18.4923331418,183.964073
-79.050566,118,-16.3983121975,207.009004
-81.017526,117,-17.5234716652,229.40355
-80.310111,118,-17.1306545272,252.296903
-80.974387,120,-17.2853992371,275.907077
-81.02175,119,-17.4505398164,298.726461
-80.41656,124,-16.7259662768,322.547721
-81.107839,120,-17.2801143348,346.836145
-79.219591,119,-16.5021973298,370.451875
-80.557806,118,-17.1760537925,393.802699
-80.790866,119,-17.0966481505,419.130321
-78.141369,117,-16.7825586686,442.335348
-81.951449,123,-17.7548342675,465.000564
-80.222111,121,-16.9425508868,489.318916
-79.532651,119,-16.4585374079,513.606715
-81.8822,120,-17.3759588634,537.957092
-80.777937,118,-17.1545791508,562.537733
-80.446951,120,-16.787263659,587.134902
-81.322731,122,-17.8329176768,611.365641
-81.737054,118,-17.97662275,635.130783
-81.935901,126,-17.3368220422,661.525813
-82.917181,123,-18.24722675,686.488737
-80.871729,118,-17.1877983007,710.905035
-82.292469,122,-17.7307410499,735.121488
-81.152724,121,-17.5087229235,760.064733
-81.235727,120,-17.3174739495,784.403968
-81.01533,120,-17.0368619691,808.990547
-80.95473,118,-17.1582834207,833.815637
-80.527104,119,-16.8600264037,858.078371
-80.454879,118,-16.7399263695,882.45838
-79.955579,118,-17.3392820263,906.034743
-80.766903,120,-17.2219213078,930.035734
-82.890489,125,-17.7017126089,960.480805
-80.623681,119,-16.9003719652,992.741059
-79.925631,120,-16.6783328562,1019.090305
-79.911286,119,-16.5644301814,1046.050114
-77.890044,118,-16.0330206078,1070.970558
-80.986595,122,-17.1419741616,1096.597467
-79.261308,120,-16.5259670248,1120.911704
-80.75816,120,-17.6011558243,1146.381096
-80.174935,118,-17.2875955262,1171.022443
-82.450777,123,-17.3141111072,1197.476767
-82.55323,120,-18.1555731921,1228.131284
-81.757892,122,-17.8890131149,1260.123816
-81.176518,123,-16.8155714257,1293.146813
-78.953382,119,-16.5225522758,1323.074958
-79.31161,119,-16.6224048651,1352.676055
-79.220466,122,-17.7729461645,1383.849136
-82.949786,124,-18.4868350352,1415.220603
-80.256457,116,-17.5555594547,1446.646804
-80.584381,117,-18.224695845,1478.044785
-80.282525,125,-17.0265960863,1510.775912
-79.436292,120,-17.0009223398,1542.132044
-80.536608,119,-18.025005801,1572.181713
-79.75325,120,-16.4375055891,1602.426677
-80.648652,120,-16.7945695721,1632.829016
-81.804671,121,-17.6476682275,1664.078276
-81.258937,126,-18.6409343848,1695.363612
-80.112013,120,-17.0129186398,1724.280964
-81.475579,125,-17.5497714227,1754.585137
-81.85743,128,-16.7945108726,1785.456796
-80.788312,118,-18.1911507674,1816.69141
-79.257258,120,-17.5233735561,1845.888391
-80.990837,120,-17.6647762881,1876.092555
-79.664484,116,-16.7940694214,1905.20629
-81.131836,125,-17.5163519524,1935.802024
-82.118216,120,-17.845109131,1965.773553
-80.396123,120,-16.6716879525,1995.879066
-79.228175,120,-16.7022478251,2026.265957
-78.671322,119,-16.6341227586,2057.288189
-81.569581,122,-17.0766302964,2086.68959
-80.63778,119,-16.8981443551,2116.255751
-80.233893,119,-17.2833096488,2144.941271
-79.885344,121,-17.0574805397,2175.109785
-80.514075,120,-16.5553416176,2203.848665
-81.375195,124,-16.9116752833,2234.10189
-81.151853,121,-17.0220996297,2264.087668
-78.986835,118,-17.1078766432,2293.094378
-79.631585,119,-16.8783099348,2324.742997
-79.246966,116,-17.8664164527,2353.427101
-79.530064,117,-16.2925766622,2383.868996
-82.355083,122,-17.6861345192,2414.128966
-82.512587,122,-17.4005724934,2443.829013
-81.481863,121,-16.9604607424,2473.378391
-79.213108,119,-16.4117524586,2502.900396
-79.312477,122,-16.3038207656,2534.057588
-81.286574,121,-16.8772004869,2566.662694
-80.959889,122,-17.1948028739,2596.847331
-80.060168,119,-17.5889617846,2627.771979
-80.850296,123,-16.8869982852,2659.875806
-79.169083,118,-16.5213774519,2690.35817
-81.919407,120,-17.3121073477,2722.583458
-81.396287,120,-16.9410206992,2753.419617
-79.769742,123,-16.9649425322,2783.644827
-80.982767,120,-17.1695469147,2814.297935
-79.166802,116,-16.9792031857,2846.967983
-80.323423,120,-17.683180958,2877.573099
-79.546941,118,-16.9357340202,2909.202863
-81.631551,120,-17.2554535136,2940.929163
-82.252172,122,-17.5308172019,2972.055816
-80.337883,122,-16.7341262954,3004.679514
-80.008289,118,-17.7614390003,3034.635878
-80.868493,124,-16.7265455629,3066.999042
-80.590199,120,-17.1875561639,3099.002848
-80.505304,118,-17.656589852,3130.75843
-79.502507,118,-16.9863473428,3161.564355
-81.260988,121,-17.9856896129,3192.888189
-79.574974,120,-17.0223135755,3224.086984
-81.30892,123,-16.9965225911,3257.041171
-77.888256,117,-15.7634201624,3288.013083
-80.984421,121,-17.4915674557,3319.453777
-82.137201,124,-17.961243249,3353.148265
-79.147156,119,-16.8697114634,3385.951688
-80.400951,119,-16.8040516862,3417.140215
-81.520103,121,-17.1398583836,3447.822304
-78.453098,115,-16.9493594226,3478.123427
-80.204267,118,-16.8230058615,3510.411279
-78.113252,119,-16.1676098634,3543.688642
-79.711871,120,-16.1886758867,3575.899952
-79.216362,117,-16.3154634665,3606.984414
-79.960204,118,-16.8908337773,3637.797235
-80.249591,118,-16.6825110874,3669.569473
-79.84307,119,-16.6021381275,3702.025818
-80.574712,120,-16.7708059284,3733.046394
-80.53406,119,-17.1509694344,3760.803016
-82.611912,123,-17.56080425,3792.270366
-80.526121,121,-16.9475350913,3821.806178
-81.14877,120,-17.0191402319,3851.596907
-81.452652,121,-17.2406362609,3881.728847
-82.25703,123,-17.715753659,3913.172798
-80.639988,119,-17.1800845933,3942.427438
-79.25296,119,-16.579050597,3971.738432
-79.420669,120,-16.2433668028,4001.785573
-81.531077,123,-17.5186238419,4031.279736
-80.360791,121,-16.6917894945,4066.612892
-80.041796,121,-16.9090209774,4108.480392
-79.240236,118,-16.574112804,4150.645262
-80.989833,123,-16.9886248619,4192.671169
-79.851272,124,-16.9053681124,4238.375109
-78.819622,118,-16.512260765,4280.519599
-79.904137,120,-17.4392492766,4320.906725
-81.95409,122,-18.063424306,4363.849529
-79.415344,118,-16.6141782449,4405.400727
-82.136247,123,-17.7608175774,4447.595842
-80.295019,118,-17.2202303685,4487.933192
-82.240146,122,-17.7551862665,4531.525061
-80.32874,117,-17.2446420555,4577.613724
-80.109291,121,-16.9898163879,4621.866022
-80.192858,118,-17.0713153207,4663.58604
-80.932559,120,-17.1481735307,4707.014808
-80.976426,121,-17.4900186231,4749.465091
-80.953353,125,-17.0996032947,4794.969162
-79.522821,119,-16.8889076471,4837.590901
-79.318021,118,-16.5808618563,4878.741308
-80.21564,121,-16.5824530974,4921.258881
-80.970762,120,-17.242794573,4963.717125
-81.479042,120,-17.3528578482,5007.931343
-79.808796,119,-16.9791962871,5050.47243
-80.723361,119,-17.6694461008,5093.367378
-80.111254,122,-16.8725372258,5138.348278
-79.961646,120,-16.4351575095,5179.717933
-79.853982,121,-16.441535121,5224.042383
-81.133116,118,-17.4347968384,5266.565479
-81.279554,120,-16.7598090799,5313.334937
-79.195416,121,-16.8797235498,5354.916547
-81.024207,124,-17.0704696486,5398.855547
-81.257968,119,-16.957807128,5440.725833
-81.42848,122,-17.4173662111,5484.023394
-80.171537,119,-16.9308694626,5528.091602
-79.6496,118,-16.8011684751,5568.851098
-80.661503,123,-16.5595879875,5611.332952
-77.990265,116,-17.486958197,5653.29797
-82.872239,123,-18.2870259311,5696.831688
