#{"t_start": 1512531663.7216876, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-78.514789,119,-16.1531686734,22.093692
-80.580083,121,-17.5673467504,44.667898
-79.602716,120,-16.6755426257,68.400505
-82.820475,129,-18.2755167464,93.527388
-79.340329,118,-16.4755471506,116.660786
-81.773487,119,-17.403757271,138.735457
-80.61281,120,-17.8294255617,161.717613
-81.028965,122,-17.337688531,185.328341
-79.531043,118,-17.3836840087,208.526797
-81.288826,122,-17.6625643352,231.73658
-81.811318,121,-17.2207360156,255.604256
-82.039134,124,-17.1552683008,280.086924
-80.580486,124,-16.449888443,303.406973
-77.399621,115,-16.0907894448,326.035131
-79.879453,117,-16.8555633128,349.360402
-80.980551,120,-17.0223509686,373.38868
-79.353695,118,-16.0779073494,396.563084
-79.729652,117,-17.1220182743,421.009918
-80.959293,119,-17.3587445571,444.92812
-79.54076,123,-17.0007235784,467.799405
-78.516038,121,-16.0420666783,491.860115
-88.030836,150,-20.9051355072,523.835457
-80.862582,120,-17.8531500877,548.613377
-80.61928,121,-17.0111898466,572.979852
-80.183192,121,-16.499328828,597.412658
-80.446506,118,-17.881181162,621.17026
-81.077769,121,-16.9302168438,646.564842
-79.28917,117,-16.8400576243,670.493376
-81.419923,124,-17.5434014921,695.483185
-79.880783,122,-17.2843383242,720.428606
-79.888286,120,-16.5882011385,745.1341
-81.1736,120,-17.5394196519,769.705922
-80.355364,122,-17.052442517,794.122971
-80.673045,121,-17.1569618839,819.926651
-78.488292,117,-16.2419141145,843.064689
-82.94514,126,-17.7716559664,869.341306
-82.490937,121,-18.1479538153,893.322751
-81.570202,119,-17.5369733298,917.213354
-80.076151,125,-17.2827543639,943.706315
-79.907695,121,-17.0420658684,975.73661
-80.080984,121,-17.0602123052,1006.525332
-80.51762,121,-17.0754656498,1032.939471
-80.224447,116,-16.8322346445,1058.459138
-79.64608,117,-17.1022472227,1082.79426
-81.7531,119,-18.3481331279,1107.32079
-81.525144,125,-16.8845741369,1133.527946
-78.461605,117,-17.2388292982,1157.805912
-79.602844,118,-16.9510569521,1182.143577
-80.644474,121,-17.3490791269,1210.29818
-79.834503,117,-17.0923076074,1241.016078
-81.265797,118,-17.5410437612,1273.161509
-83.536398,125,-18.4084015719,1304.929332
-79.089168,118,-16.6351907613,1334.162171
-81.286459,122,-17.0556671649,1365.368004
-81.894707,122,-18.0064304798,1396.035367
-78.877834,118,-16.5077858016,1427.477902
-79.136754,117,-16.4271963035,1458.109312
-80.901393,119,-17.1491801376,1490.02402
-82.480257,121,-18.0566325085,1520.913316
-77.286322,119,-15.9255636424,1550.932555
-81.223146,121,-17.2538717178,1581.722042
-81.100435,121,-18.3595539499,1611.837208
-79.679875,119,-17.1821578647,1642.604224
-81.303852,118,-17.4227026434,1672.4102
-76.743197,127,-16.4915929846,1704.534446
-79.353926,120,-16.6506039981,1734.202373
-80.121381,122,-17.2501687062,1763.772743
-81.034584,121,-17.2416725329,1795.592992
-80.578168,119,-16.8420918984,1824.992144
-80.4743,120,-16.8990197907,1853.994292
-82.321351,119,-18.5322527334,1884.413847
-81.185346,120,-17.1816675682,1913.454788
-79.296272,121,-16.8613291912,1943.599726
-80.378801,124,-17.0171098789,1974.450251
-79.454558,120,-17.2527324049,2004.521247
-80.976928,122,-16.9414358967,2035.660894
-78.744602,117,-16.5859984237,2065.242807
-79.471123,116,-16.6280324666,2093.170921
-81.469155,125,-17.7770316325,2123.762695
-80.557242,122,-16.4379547821,2153.65035
-80.350251,117,-16.9362797555,2182.113164
-79.559954,118,-16.6830377733,2211.056759
-80.085399,117,-17.0775451105,2239.552392
-80.304195,117,-16.9864366024,2268.71618
-81.044021,121,-16.9983432998,2299.951525
-81.979894,122,-17.6599274669,2330.013434
-78.967795,117,-16.6252482546,2359.678988
-79.912279,120,-16.4883787581,2390.69699
-79.94987,119,-16.5009656288,2420.090834
-80.317255,121,-16.7942143906,2449.970243
-77.912751,117,-15.9940067763,2478.082314
-79.712807,120,-16.7905080344,2507.854107
-81.774322,122,-18.1223068513,2539.23202
