#{"t_start": 1512531663.7670484, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-83.157743,127,-17.8985956618,24.209256
-81.823191,121,-17.7171889918,46.826057
-81.836291,122,-17.514453935,71.019037
-78.605245,119,-16.6545269262,93.507899
-81.663551,118,-17.4522493273,116.633188
-80.753699,122,-17.0609602096,139.41186
-80.91934,120,-16.7965576641,162.528954
-81.990002,118,-18.2386635594,185.048559
-81.785314,119,-17.9104226672,208.463428
-77.568513,117,-15.9465835812,230.599306
-80.940878,123,-17.2841217515,254.807234
-82.215848,123,-17.4179839202,278.977025
-80.709496,122,-16.5984273989,302.079507
-81.663308,120,-17.408562327,325.772285
-80.500066,122,-16.9763218188,350.366808
-81.03303,122,-17.4649111165,374.629364
-80.518165,120,-17.6505614528,400.305065
-80.08897,118,-17.5289659903,423.046361
-82.707506,124,-17.6828700027,447.75945
-82.323599,123,-17.6819328783,471.640056
-80.574504,120,-17.0941505657,495.040948
-80.742874,120,-17.0483519909,519.657341
-81.11876,119,-17.308070329,544.203033
-79.719242,123,-16.6056206545,568.995299
-81.389501,123,-16.9059307451,594.060637
-79.390215,119,-17.2800277959,618.052176
-77.519626,114,-15.5399455319,640.869874
-82.735532,122,-17.6786146687,666.626833
-80.101356,118,-17.0057376172,690.228755
-80.14282,123,-16.5638768796,715.848916
-81.883759,122,-17.7588945235,740.355454
-80.593538,126,-16.730522295,766.668622
-78.588303,118,-16.4228309799,790.266756
-81.424234,121,-18.0543422792,816.274217
-81.584065,124,-17.4132908448,841.062202
-81.305084,122,-17.0243855357,866.37641
-81.43079,119,-17.2373370822,890.176018
-81.215166,122,-17.2789166279,914.633012
-78.982561,122,-16.5989134934,940.279848
-79.98903,124,-16.323313136,972.957934
-80.782628,123,-16.8381428507,1004.243968
-79.068516,119,-16.4664401696,1029.916063
-81.433056,122,-17.4027221782,1056.964691
-80.861232,121,-16.8327714544,1082.282186
-79.392696,118,-16.4905796203,1106.575879
-78.706333,120,-16.2574985296,1131.89615
-80.041463,120,-17.1066516783,1156.818961
-80.336214,119,-17.4773496673,1181.26169
-80.858378,123,-17.4878371932,1209.735824
-79.993375,117,-17.5404914767,1240.46893
-80.852531,120,-16.9439353457,1273.088902
-79.216402,122,-16.6731505575,1303.980572
-80.109354,122,-16.7888419868,1334.319362
-79.681055,119,-17.1569431176,1364.620514
-80.298288,121,-17.2286625773,1395.216014
-80.326933,120,-16.8893556205,1427.118602
-81.959595,121,-17.0852905275,1458.91056
-82.392591,123,-18.0074042707,1491.607023
-78.229248,116,-16.055547789,1521.428025
-78.715483,116,-16.2973090152,1550.612574
