#{"t_start": 1512531663.8123653, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-81.546069,122,-17.4653496261,22.80551
-81.686704,118,-18.1992642423,44.557416
-79.452353,117,-17.4556750002,67.598917
-80.618193,118,-17.3483303358,89.746759
-80.952201,119,-17.1172536181,113.756908
-81.154349,120,-17.7193859169,136.301927
-80.85383,118,-17.7445644232,158.688187
-80.529617,121,-17.0868547398,181.973095
-80.098223,120,-16.7526322238,205.517126
-80.463731,118,-17.7768802701,228.35138
-80.408364,121,-17.1156138802,251.815484
-80.678357,123,-16.5868379491,275.862904
-82.348242,126,-17.5193463364,300.163956
-79.783833,122,-16.7680508591,323.651483
-80.316988,118,-17.0575432148,347.364327
-82.275763,122,-18.1376075895,371.679768
-81.355322,123,-16.8404284256,396.224762
-82.016547,123,-17.4111560778,422.207885
-80.476591,119,-17.7981744132,445.907611
-78.720957,119,-16.4276452844,468.229023
-79.39239,119,-16.675601809,491.445747
-81.968828,125,-17.1989357763,517.436844
-82.343193,125,-17.3986714296,543.578671
-81.23412,120,-17.9915768841,567.569418
-81.611918,125,-16.9744618504,592.879822
-79.144425,119,-16.5501377216,617.217108
-81.37344,122,-16.8117718617,641.628383
-78.478027,119,-15.9716317706,666.911819
-80.780242,117,-17.2175118157,690.240324
-80.309116,122,-17.0932530816,715.554806
-79.124148,119,-16.4498783635,739.299126
-80.886548,119,-16.6874108989,763.941651
-80.797685,119,-16.857826069,787.634485
-81.154178,120,-17.7903825511,813.85239
-80.529257,121,-17.6179391224,837.727783
-81.879449,121,-17.80161378,862.875127
-82.053252,123,-17.542119582,887.561612
-80.029375,116,-18.0666046902,910.692974
-81.559123,124,-17.0681160284,936.29063
-82.130656,121,-17.2246662107,967.449031
-81.230787,121,-17.3477533255,999.210243
-80.596112,120,-17.6384840677,1025.289155
-83.211508,126,-17.6420430828,1053.25613
-80.677518,122,-16.8879357817,1079.024352
-77.441788,118,-15.9309543554,1103.269321
-80.453761,117,-17.2940701897,1127.832985
-82.379217,120,-18.4845927453,1152.731102
-79.10499,120,-16.1790416351,1177.629914
-80.135738,118,-17.1197151583,1204.031152
-80.798719,121,-17.264128171,1235.026967
-82.879044,127,-18.0690710914,1270.394623
-81.936611,126,-17.2768947561,1302.34597
-81.964091,122,-17.4196105491,1332.676759
-82.286849,130,-17.5989254991,1366.176952
-79.744033,121,-17.0883685388,1396.661776
-79.901517,119,-16.6508726996,1428.312595
-82.200193,123,-17.6204813397,1460.528893
-80.292739,121,-17.1673280789,1492.640008
-80.276501,118,-17.7677193154,1523.297141
-81.85304,122,-17.1578210482,1554.356332
-81.776393,121,-17.708707272,1584.491696
-80.66828,119,-17.7423240913,1614.536784
-80.484945,125,-16.7269042552,1647.237879
-82.731242,128,-18.0914662241,1680.061502
-80.512418,121,-17.6285415032,1709.827608
-80.669189,121,-17.2090902524,1739.537198
-80.817375,117,-17.5522517925,1768.319341
-80.707263,119,-17.4322382867,1799.527536
-80.087997,119,-16.3513699001,1828.010463
-80.25398,122,-17.0490386462,1858.234774
-81.392264,122,-17.0061586315,1889.212093
-81.628861,127,-16.8623835304,1919.663228
-80.171934,123,-17.0399162832,1950.29264
-80.60229,121,-16.6349694448,1980.125802
-81.293807,120,-17.6399445895,2010.470048
-80.431942,122,-16.8441191455,2041.39097
-79.999134,118,-17.1520650124,2071.225378
-81.919908,126,-18.014702385,2102.314837
-79.399947,119,-16.6947122625,2130.853094
-80.407813,123,-16.8014518795,2161.576051
-81.692445,121,-17.5511099848,2190.29982
-79.738046,120,-16.5034512173,2219.391941
-79.696325,119,-16.9385512915,2249.194655
-81.575337,118,-18.700971081,2278.873044
-79.676837,118,-16.7164968952,2310.268235
-80.346399,120,-16.9581507749,2339.532204
-81.007128,117,-17.5775198769,2369.6627
-80.50387,123,-16.8701610656,2401.047181
-79.690581,122,-15.9964736911,2430.175966
-79.675491,118,-16.4083865718,2459.960979
-81.935093,118,-17.6998499275,2488.872688
-82.415399,121,-17.539643521,2519.009191
-79.094345,117,-17.7614907344,2548.748702
-80.701518,122,-16.6230149389,2580.407213
-79.728935,120,-16.8061952405,2611.535276
