clipfrac,explained_variance,approxkl,nupdates,time_elapsed,fps,serial_timesteps,eprewmean,total_timesteps,value_loss,score,policy_loss,eplenmean,policy_entropy
0.0371597,0.20901983976364136,0.00107287,17,10530.643598079681,109,34816,-927.93375777,1114112,11195.1,-0.941924648668,-0.0011524,128.49,23.9727
0.0352783,0.20715868473052979,0.00102526,18,11146.219301462173,106,36864,-930.79792077,1179648,11182.0,-0.943626973899,-0.00144501,128.35,23.9819
0.0347794,0.20789361000061035,0.00102243,19,11767.967559814453,105,38912,-928.03137882,1245184,11178.7,-0.941959884045,-0.00110207,128.36,23.9677
0.0321457,0.20701420307159424,0.000979734,20,12391.745712041855,105,40960,-931.36868988,1310720,11167.9,-0.944784883705,-0.00105179,128.59,23.9595
0.0350082,0.20840835571289062,0.00100814,21,13017.911759138107,104,43008,-929.50789035,1376256,11165.9,-0.942857041422,-0.00111919,128.5,23.9462
0.0424454,0.2070251703262329,0.00114492,22,13643.65827178955,104,45056,-929.82367493,1441792,11161.5,-0.943670034231,-0.00142887,128.86,23.939
0.0347748,0.20934432744979858,0.00101023,23,14271.61586856842,104,47104,-926.93033862,1507328,11121.6,-0.940822842981,-0.000987086,128.59,23.9244
0.039592,0.20817625522613525,0.00109166,24,14901.993689537048,103,49152,-928.52897264,1572864,11143.7,-0.94192924103,-0.00118016,128.18,23.9125
0.0393692,0.21019887924194336,0.0011043,25,15530.398267030716,104,51200,-927.18198244,1638400,11160.4,-0.941343595078,-0.001257,128.58,23.8914
0.0360489,0.2109452486038208,0.00106271,26,16156.187375307083,104,53248,-927.89403851,1703936,11133.7,-0.941568597868,-0.00113857,128.55,23.8545
0.0364136,0.2111247181892395,0.00102243,27,16783.102148532867,104,55296,-927.82363914,1769472,11095.8,-0.942243245455,-0.00119161,128.74,23.8607
0.0402069,0.2100728154182434,0.00110754,28,17410.335349559784,104,57344,-928.4697638,1835008,11087.0,-0.941741507173,-0.00118016,128.66,23.8351
0.0406876,0.20971888303756714,0.00110398,29,18041.566274881363,103,59392,-929.30857943,1900544,11068.7,-0.942710865941,-0.00145408,128.5,23.814
0.0440353,0.20944476127624512,0.00115173,30,18665.8301756382,104,61440,-927.96417345,1966080,11074.5,-0.942058564824,-0.00143864,128.63,23.7875
0.0392471,0.21093076467514038,0.00109627,31,19288.970611333847,105,63488,-927.17055637,2031616,11053.6,-0.941465478746,-0.00108129,128.78,23.7726
